low,price,percentchange,high,symbol,open,relvolume,watchers,hourchange,sentiment
196.09,204.93,3.6308,205.76,META,198.26,1.4445,511578,6,1.88
121.92,124.7,1.1518,124.82,IBM,122.96,1.2179,51321,0,7.43
178.84,184.13,2.0393,185.81,TSLA,180.365,0.6387,888564,3,3.85
263.28,276.2,4.0536,276.5,MSFT,265.205,1.4833,441647,1,5.72
198.28,201.1,-2.2648,205.58,ENPH,204.92,0.7833,36997,4,-0.93
89.02,96.6,7.7163,96.69,AMD,89.72,1.9766,455753,6,5.55
84.21,86.39,3.1646,86.47,SONY,84.51,1.0857,2078,0,-13.33
5.28,5.45,0.7394,5.54,SOFI,5.3501,0.6438,91532,-1,1.01
28.4,30.18,6.2302,30.27,INTC,28.39,1.5477,130776,0,5.56
4.06,4.39,4.2755,4.65,AMC,4.22,0.764,411748,0,0.45
111.39,113.53,1.9303,113.79,EA,111.39,0.7185,20735,0,-8.33
6.63,7.41,5.1064,7.585,CVNA,6.92,0.4207,23316,0,0.61
95.61,100.04,3.9917,100.99,AMZN,95.75,1.0602,586498,8,4.01
95.5,100.32,4.3804,101.18,GOOGL,96.2,1.5267,159481,0,1.93
126.02,130.75,1.9414,131.95,JPM,128.01,1.8493,81984,1,3.96
448.0,450.15,0.2785,455.97,NOC,449.11,0.8285,7993,0,5.68
238.94,255.41,5.4193,255.88,NVDA,240.27,1.1226,419041,9,6.78
151.64,155.85,1.8694,156.42,AAPL,152.16,0.9062,875748,6,4.36
