symbol,open,price,percentchange,relvolume,low,high,watchers,hourchange,sentiment
META,198.26,204.93,3.6308,1.4445,196.09,205.76,511579,1,2.14
IBM,122.96,124.7,1.1518,1.2179,121.92,124.82,51323,2,7.43
TSLA,180.365,184.13,2.0393,0.6387,178.84,185.81,888566,2,4.0
MSFT,265.205,276.2,4.0536,1.4833,263.28,276.5,441640,-7,6.03
ENPH,204.92,201.1,-2.2648,0.7833,198.28,205.58,36997,0,-0.87
AMD,89.72,96.6,7.7163,1.9766,89.02,96.69,455762,9,5.36
SONY,84.51,86.39,3.1646,1.0857,84.21,86.47,2078,0,-13.33
SOFI,5.3501,5.45,0.7394,0.6438,5.28,5.54,91534,2,1.02
INTC,28.39,30.18,6.2302,1.5477,28.4,30.27,130778,2,5.9
AMC,4.22,4.39,4.2755,0.764,4.06,4.65,411750,2,0.42
EA,111.39,113.53,1.9303,0.7185,111.39,113.79,20735,0,-8.33
CVNA,6.92,7.41,5.1064,0.4207,6.63,7.585,23316,0,0.6
AMZN,95.75,100.04,3.9917,1.0602,95.61,100.99,586498,0,3.92
GOOGL,96.2,100.32,4.3804,1.5267,95.5,101.18,159483,2,2.15
JPM,128.01,130.75,1.9414,1.8493,126.02,131.95,81986,2,3.98
NOC,449.11,450.15,0.2785,0.8285,448.0,455.97,7993,0,5.68
NVDA,240.27,255.41,5.4193,1.1226,238.94,255.88,419037,-4,6.77
AAPL,152.16,155.85,1.8694,0.9062,151.64,156.42,875747,-1,4.25
