symbol,relvolume,price,high,open,low,percentchange,watchers,hourchange,sentiment
NOC,0.6237,442.49,451.41,449.81,441.305,-1.7017,7996,0,1.39
MSFT,1.5392,278.46,283.33,278.26,276.3201,0.8182,441712,7,2.54
NVDA,1.205,259.24,263.99,259.82,256.68,1.4995,419156,8,5.37
META,0.892,197.51,201.9,200.56,195.92,-3.6207,511588,-1,1.32
ENPH,1.4429,182.51,200.7,200.7,181.55,-9.2442,37072,17,-3.95
TSLA,0.5967,179.5884,186.21,184.515,177.33,-2.4665,888606,3,3.31
AAPL,0.8531,154.65,156.74,156.08,154.28,-0.77,875776,2,5.56
JPM,1.742,125.97,128.45,128.38,125.46,-3.6558,82020,5,5.95
IBM,1.3222,123.275,124.2,124.08,122.935,-1.1427,51323,0,7.41
EA,0.5713,113.245,114.0,113.65,112.98,-0.251,20736,0,0.0
GOOGL,1.0548,101.16,102.835,100.26,100.1,0.8373,159499,3,2.66
AMZN,0.763,98.49,100.65,99.79,97.455,-1.5494,586531,6,2.4
AMD,1.2644,96.65,98.75,96.66,95.94,0.0518,455809,4,2.76
SONY,0.7247,86.63,87.445,87.25,86.19,0.2778,2077,0,33.33
INTC,0.8318,29.505,30.56,29.92,29.44,-2.2366,130791,0,-1.33
CVNA,0.3593,7.658,7.9,7.21,7.02,3.3468,23309,8,1.11
SOFI,0.4689,5.445,5.5,5.47,5.33,-0.0917,91540,-1,2.93
AMC,0.5195,4.225,4.34,4.3,4.108,-3.7585,411727,-2,0.17
