symbol,open,price,low,high,relvolume,percentchange,watchers,hourchange,sentiment
NOC,449.81,443.72,441.305,451.41,0.8804,-1.4284,7996,0,1.11
MSFT,278.26,279.17,276.3201,283.33,1.7577,1.0753,441723,11,1.96
NVDA,259.82,257.23,256.68,263.99,1.3828,0.7126,419169,13,4.37
META,200.56,195.76,195.4304,201.9,1.116,-4.4747,511604,16,-0.47
ENPH,200.7,183.57,181.55,200.7,1.684,-8.7171,37086,14,-4.65
TSLA,184.515,180.02,177.33,186.21,0.6722,-2.2321,888605,-1,2.68
AAPL,156.08,154.99,154.28,156.74,0.9896,-0.5518,875776,0,6.18
JPM,128.38,125.785,125.46,128.45,2.2173,-3.7973,82027,7,4.98
IBM,124.08,123.66,122.935,124.52,2.0994,-0.834,51322,-1,6.08
EA,113.65,113.33,112.98,114.0,0.7406,-0.1762,20736,0,0.0
GOOGL,100.26,101.56,100.1,102.835,1.2376,1.236,159500,1,2.5
AMZN,99.79,98.9,97.455,100.65,0.8764,-1.1395,586534,3,2.44
AMD,96.66,97.76,95.94,98.75,1.4973,1.2008,455814,5,2.04
SONY,87.25,86.52,86.19,87.445,1.0052,0.1505,2077,0,33.33
INTC,29.92,29.8,29.44,30.56,1.0943,-1.2591,130791,0,-1.62
CVNA,7.21,7.56,7.02,7.9,0.4207,2.0243,23307,-2,0.72
SOFI,5.47,5.455,5.33,5.54,0.6642,0.0917,91541,1,5.24
AMC,4.3,4.1635,4.108,4.34,0.6185,-5.1595,411726,-1,0.19
