relvolume,high,symbol,price,percentchange,low,open,watchers,hourchange,sentiment
1.0052,87.47,SONY,86.52,0.1505,86.18,87.25,2077,0,33.33
1.684,200.7,ENPH,183.64,-8.6822,181.55,200.7,37095,9,-3.83
1.3828,263.99,NVDA,257.25,0.7204,256.68,259.82,419172,3,4.19
0.4207,7.9,CVNA,7.65,3.2389,7.02,7.21,23307,0,0.95
2.0994,124.52,IBM,123.69,-0.8099,122.93,124.08,51322,0,6.08
0.6722,186.21,TSLA,180.13,-2.1724,177.33,184.515,888615,10,2.68
1.4973,98.75,AMD,97.84,1.2836,95.94,96.66,455814,0,1.38
2.2173,128.48,JPM,125.81,-3.7782,125.45,128.38,82027,0,4.98
1.116,201.9,META,195.61,-4.5479,195.4304,200.56,511604,0,-0.47
1.7577,283.33,MSFT,279.43,1.1694,276.3201,278.26,441729,6,0.25
0.6185,4.34,AMC,4.18,-4.7836,4.108,4.3,411733,7,0.06
0.6642,5.54,SOFI,5.46,0.1835,5.33,5.47,91544,3,5.24
0.7406,114.0,EA,113.35,-0.1585,112.98,113.65,20736,0,-25.0
0.8764,100.65,AMZN,98.95,-1.0896,97.455,99.79,586541,7,2.83
0.8804,450.16,NOC,443.6,-1.4551,441.305,449.81,7997,1,1.11
1.2376,102.835,GOOGL,101.62,1.2959,100.1,100.26,159508,8,1.8
1.0943,30.56,INTC,29.81,-1.226,29.44,29.92,130790,-1,-3.05
0.9896,156.74,AAPL,155.0,-0.5454,154.28,156.08,875791,15,5.25
