percentchange,high,relvolume,open,low,symbol,price,watchers,hourchange,sentiment
-2.1724,186.21,0.6722,184.515,177.33,TSLA,180.13,888626,5,1.73
1.2836,98.75,1.4973,96.66,95.94,AMD,97.84,455821,1,-0.39
-3.7782,128.45,2.2173,128.38,125.46,JPM,125.81,82035,3,4.23
1.1694,283.33,1.7577,278.26,276.3201,MSFT,279.43,441744,8,-1.31
-4.5479,201.9,1.116,200.56,195.4304,META,195.61,511609,2,-1.01
-4.7836,4.34,0.6185,4.3,4.1078,AMC,4.18,411733,3,-0.02
0.1835,5.54,0.6642,5.47,5.33,SOFI,5.46,91544,-3,5.25
-1.4551,450.16,0.8804,449.81,441.305,NOC,443.6,7997,0,3.41
-0.1585,114.0,0.7406,113.65,112.98,EA,113.35,20735,0,-25.0
-1.0896,100.65,0.8764,99.79,97.455,AMZN,98.95,586549,6,2.58
1.2959,102.835,1.2376,100.26,100.1,GOOGL,101.62,159516,2,1.84
-1.226,30.56,1.0943,29.92,29.44,INTC,29.81,130794,3,-4.17
0.1505,87.47,1.0052,87.25,86.18,SONY,86.52,2077,0,33.33
-0.5454,156.74,0.9896,156.08,154.28,AAPL,155.0,875804,5,4.54
-8.6822,200.7,1.684,200.7,181.55,ENPH,183.64,37113,4,-3.33
0.7204,263.99,1.3828,259.82,256.68,NVDA,257.25,419188,9,2.88
3.2389,7.9,0.4207,7.21,7.02,CVNA,7.65,23308,0,0.57
-0.8099,124.52,2.0994,124.08,122.93,IBM,123.69,51323,1,2.51
