open,percentchange,low,symbol,relvolume,high,price,watchers,hourchange,sentiment
124.08,-0.8099,122.93,IBM,2.0994,124.52,123.69,51323,1,2.51
96.66,1.2836,95.94,AMD,1.4973,98.75,97.84,455821,1,-0.39
184.515,-2.1724,177.33,TSLA,0.6722,186.21,180.13,888626,5,1.73
278.26,1.1694,276.3201,MSFT,1.7577,283.33,279.43,441744,8,-1.31
128.38,-3.7782,125.46,JPM,2.2173,128.45,125.81,82035,3,4.23
4.3,-4.7836,4.1078,AMC,0.6185,4.34,4.18,411733,3,-0.02
200.56,-4.5479,195.4304,META,1.116,201.9,195.61,511609,2,-1.01
5.47,0.1835,5.33,SOFI,0.6642,5.54,5.46,91544,-3,5.25
449.81,-1.4551,441.305,NOC,0.8804,450.16,443.6,7997,0,3.41
113.65,-0.1585,112.98,EA,0.7406,114.0,113.35,20735,0,-25.0
99.79,-1.0896,97.455,AMZN,0.8764,100.65,98.95,586549,6,2.58
100.26,1.2959,100.1,GOOGL,1.2376,102.835,101.62,159516,2,1.84
29.92,-1.226,29.44,INTC,1.0943,30.56,29.81,130794,3,-4.17
87.25,0.1505,86.18,SONY,1.0052,87.47,86.52,2077,0,33.33
200.7,-8.6822,181.55,ENPH,1.684,200.7,183.64,37113,4,-3.33
156.08,-0.5454,154.28,AAPL,0.9896,156.74,155.0,875804,5,4.54
259.82,0.7204,256.68,NVDA,1.3828,263.99,257.25,419188,9,2.88
7.21,3.2389,7.02,CVNA,0.4207,7.9,7.65,23308,0,0.57
