low,percentchange,open,symbol,relvolume,price,high,watchers,hourchange,sentiment
7.02,3.2389,7.21,CVNA,0.4207,7.65,7.9,23308,0,0.57
122.93,-0.8099,124.08,IBM,2.0994,123.69,124.52,51323,1,2.51
177.33,-2.1724,184.515,TSLA,0.6722,180.13,186.21,888626,5,1.73
95.94,1.2836,96.66,AMD,1.4973,97.84,98.75,455821,1,-0.39
276.3201,1.1694,278.26,MSFT,1.7577,279.43,283.33,441744,8,-1.31
125.46,-3.7782,128.38,JPM,2.2173,125.81,128.45,82035,3,4.23
4.1078,-4.7836,4.3,AMC,0.6185,4.18,4.34,411733,3,-0.02
195.4304,-4.5479,200.56,META,1.116,195.61,201.9,511609,2,-1.01
441.305,-1.4551,449.81,NOC,0.8804,443.6,450.16,7997,0,3.41
5.33,0.1835,5.47,SOFI,0.6642,5.46,5.54,91544,-3,5.25
112.98,-0.1585,113.65,EA,0.7406,113.35,114.0,20735,0,-25.0
97.455,-1.0896,99.79,AMZN,0.8764,98.95,100.65,586549,6,2.58
100.1,1.2959,100.26,GOOGL,1.2376,101.62,102.835,159516,2,1.84
29.44,-1.226,29.92,INTC,1.0943,29.81,30.56,130794,3,-4.17
86.18,0.1505,87.25,SONY,1.0052,86.52,87.47,2077,0,33.33
181.55,-8.6822,200.7,ENPH,1.684,183.64,200.7,37113,4,-3.33
154.28,-0.5454,156.08,AAPL,0.9896,155.0,156.74,875804,5,4.54
256.68,0.7204,259.82,NVDA,1.3828,257.25,263.99,419188,9,2.88
