percentchange,open,price,relvolume,symbol,low,high,watchers,hourchange,sentiment
-1.0896,99.79,98.95,0.8764,AMZN,97.455,100.65,586552,3,2.43
0.1835,5.47,5.46,0.6642,SOFI,5.33,5.54,91542,-2,5.23
-4.7836,4.3,4.18,0.6185,AMC,4.1078,4.34,411722,-11,-0.12
-0.1585,113.65,113.35,0.7406,EA,112.98,114.0,20735,0,-25.0
1.2959,100.26,101.62,1.2376,GOOGL,100.1,102.835,159516,0,1.29
-1.226,29.92,29.81,1.0943,INTC,29.44,30.56,130795,1,-4.15
0.1505,87.25,86.52,1.0052,SONY,86.18,87.47,2077,0,33.33
-0.5454,156.08,155.0,0.9896,AAPL,154.28,156.74,875807,3,4.79
-8.6822,200.7,183.64,1.684,ENPH,181.55,200.7,37117,4,-3.02
0.7204,259.82,257.25,1.3828,NVDA,256.68,263.99,419189,1,2.84
3.2389,7.21,7.65,0.4207,CVNA,7.02,7.9,23308,0,0.37
1.2836,96.66,97.84,1.4973,AMD,95.94,98.75,455823,2,-0.53
-2.1724,184.515,180.13,0.6722,TSLA,177.33,186.21,888626,0,1.2
-0.8099,124.08,123.69,2.0994,IBM,122.93,124.52,51324,1,1.4
1.1694,278.26,279.43,1.7577,MSFT,276.3201,283.33,441744,0,-1.37
-3.7782,128.38,125.81,2.2173,JPM,125.46,128.45,82038,3,4.4
-4.5479,200.56,195.61,1.116,META,195.4304,201.9,511611,2,-1.09
-1.4551,449.81,443.6,0.8804,NOC,441.305,450.16,7998,1,3.41
