open,low,high,symbol,percentchange,price,relvolume,watchers,hourchange,sentiment
200.7,181.55,200.7,ENPH,-8.6822,183.64,1.684,37117,4,-3.02
7.21,7.02,7.9,CVNA,3.2389,7.65,0.4207,23308,0,0.37
96.66,95.94,98.75,AMD,1.2836,97.84,1.4973,455823,2,-0.53
184.515,177.33,186.21,TSLA,-2.1724,180.13,0.6722,888626,0,1.2
124.08,122.93,124.52,IBM,-0.8099,123.69,2.0994,51324,1,1.4
278.26,276.3201,283.33,MSFT,1.1694,279.43,1.7577,441744,0,-1.37
128.38,125.46,128.45,JPM,-3.7782,125.81,2.2173,82038,3,4.4
200.56,195.4304,201.9,META,-4.5479,195.61,1.116,511611,2,-1.09
449.81,441.305,450.16,NOC,-1.4551,443.6,0.8804,7998,1,3.41
5.47,5.33,5.54,SOFI,0.1835,5.46,0.6642,91542,-2,5.23
113.65,112.98,114.0,EA,-0.1585,113.35,0.7406,20735,0,-25.0
99.79,97.455,100.65,AMZN,-1.0896,98.95,0.8764,586552,3,2.43
4.3,4.1078,4.34,AMC,-4.7836,4.18,0.6185,411722,-11,-0.12
100.26,100.1,102.835,GOOGL,1.2959,101.62,1.2376,159516,0,1.29
29.92,29.44,30.56,INTC,-1.226,29.81,1.0943,130795,1,-4.15
87.25,86.18,87.47,SONY,0.1505,86.52,1.0052,2077,0,33.33
156.08,154.28,156.74,AAPL,-0.5454,155.0,0.9896,875807,3,4.79
259.82,256.68,263.99,NVDA,0.7204,257.25,1.3828,419189,1,2.84
