open,low,high,relvolume,percentchange,price,symbol,watchers,hourchange,sentiment
7.21,7.02,7.9,0.4207,3.2389,7.65,CVNA,23300,-3,0.48
96.66,95.94,98.75,1.4973,1.2836,97.84,AMD,455823,2,-0.62
184.515,177.33,186.21,0.6722,-2.1724,180.13,TSLA,888627,-2,0.84
124.08,122.93,124.52,2.0994,-0.8099,123.69,IBM,51324,0,1.4
113.65,112.98,114.0,0.7406,-0.1585,113.35,EA,20734,-1,-25.0
278.26,276.3201,283.33,1.7577,1.1694,279.43,MSFT,441751,3,-1.53
128.38,125.46,128.45,2.2173,-3.7782,125.81,JPM,82039,0,4.47
449.81,441.305,450.16,0.8804,-1.4551,443.6,NOC,7998,0,3.41
200.56,195.4304,201.9,1.116,-4.5479,195.61,META,511617,5,-1.37
5.47,5.33,5.54,0.6642,0.1835,5.46,SOFI,91543,1,5.35
99.79,97.455,100.65,0.8764,-1.0896,98.95,AMZN,586545,-1,2.1
4.3,4.1078,4.34,0.6185,-4.7836,4.18,AMC,411723,0,-0.2
29.92,29.44,30.56,1.0943,-1.226,29.81,INTC,130795,0,-4.36
100.26,100.1,102.835,1.2376,1.2959,101.62,GOOGL,159514,0,0.74
156.08,154.28,156.74,0.9896,-0.5454,155.0,AAPL,875807,3,4.47
87.25,86.18,87.47,1.0052,0.1505,86.52,SONY,2077,0,33.33
259.82,256.68,263.99,1.3828,0.7204,257.25,NVDA,419195,3,2.48
200.7,181.55,200.7,1.684,-8.6822,183.64,ENPH,37123,0,-3.44
