percentchange,relvolume,price,symbol,open,low,high,watchers,hourchange,sentiment
3.2389,0.4207,7.65,CVNA,7.21,7.02,7.9,23300,-3,0.48
1.2836,1.4973,97.84,AMD,96.66,95.94,98.75,455823,2,-0.62
-2.1724,0.6722,180.13,TSLA,184.515,177.33,186.21,888627,-2,0.84
-0.8099,2.0994,123.69,IBM,124.08,122.93,124.52,51324,0,1.4
-0.1585,0.7406,113.35,EA,113.65,112.98,114.0,20734,-1,-25.0
1.1694,1.7577,279.43,MSFT,278.26,276.3201,283.33,441751,3,-1.53
-3.7782,2.2173,125.81,JPM,128.38,125.46,128.45,82039,0,4.47
-1.4551,0.8804,443.6,NOC,449.81,441.305,450.16,7998,0,3.41
-4.5479,1.116,195.61,META,200.56,195.4304,201.9,511617,5,-1.37
0.1835,0.6642,5.46,SOFI,5.47,5.33,5.54,91543,1,5.35
-1.0896,0.8764,98.95,AMZN,99.79,97.455,100.65,586545,-1,2.1
-4.7836,0.6185,4.18,AMC,4.3,4.1078,4.34,411723,0,-0.2
-1.226,1.0943,29.81,INTC,29.92,29.44,30.56,130795,0,-4.36
1.2959,1.2376,101.62,GOOGL,100.26,100.1,102.835,159514,0,0.74
-0.5454,0.9896,155.0,AAPL,156.08,154.28,156.74,875807,3,4.47
0.1505,1.0052,86.52,SONY,87.25,86.18,87.47,2077,0,33.33
0.7204,1.3828,257.25,NVDA,259.82,256.68,263.99,419195,3,2.48
-8.6822,1.684,183.64,ENPH,200.7,181.55,200.7,37123,0,-3.44
