symbol,percentchange,price,high,low,relvolume,open,watchers,hourchange,sentiment
CVNA,3.2389,7.65,7.9,7.02,0.4207,7.21,23300,0,0.39
AMD,1.2836,97.84,98.75,95.94,1.4973,96.66,455822,-1,-0.57
TSLA,-2.1724,180.13,186.21,177.33,0.6722,184.515,888627,0,0.65
IBM,-0.8099,123.69,124.52,122.93,2.0994,124.08,51324,0,1.4
EA,-0.1585,113.35,114.0,112.98,0.7406,113.65,20733,-1,-25.0
MSFT,1.1694,279.43,283.33,276.3201,1.7577,278.26,441749,-2,-1.45
JPM,-3.7782,125.81,128.45,125.46,2.2173,128.38,82043,4,3.88
NOC,-1.4551,443.6,450.16,441.305,0.8804,449.81,7998,0,3.41
META,-4.5479,195.61,201.9,195.4304,1.116,200.56,511611,-6,-1.49
SOFI,0.1835,5.46,5.54,5.33,0.6642,5.47,91541,-2,5.5
AMZN,-1.0896,98.95,100.65,97.455,0.8764,99.79,586545,0,2.06
AMC,-4.7836,4.18,4.34,4.1078,0.6185,4.3,411722,-1,-0.23
INTC,-1.226,29.81,30.56,29.44,1.0943,29.92,130795,0,-4.46
GOOGL,1.2959,101.62,102.835,100.1,1.2376,100.26,159517,3,0.71
AAPL,-0.5454,155.0,156.74,154.28,0.9896,156.08,875803,-4,4.31
SONY,0.1505,86.52,87.47,86.18,1.0052,87.25,2077,0,33.33
NVDA,0.7204,257.25,263.99,256.68,1.3828,259.82,419191,-4,2.34
ENPH,-8.6822,183.64,200.7,181.55,1.684,200.7,37125,2,-3.48
