symbol,open,relvolume,price,percentchange,high,low,watchers,hourchange,sentiment
NOC,445.27,0.2573,448.87,1.188,452.2,445.36,8002,0,9.09
MSFT,276.98,1.0031,270.46,-3.2101,277.48,269.85,441926,12,0.03
NVDA,256.15,0.6747,258.065,0.3168,260.24,251.3,419413,7,1.25
META,198.48,0.5688,196.93,0.6748,199.36,193.64,511735,-1,0.4
ENPH,189.59,0.9695,192.69,4.9281,196.88,185.2,37207,3,0.71
TSLA,178.08,0.6023,183.34,1.782,186.44,176.35,888853,2,-0.56
AAPL,155.07,0.6708,157.27,1.4645,157.8,154.15,876008,3,-1.19
JPM,126.99,1.3376,126.42,0.4849,129.46,126.01,82200,8,0.53
IBM,124.31,0.5107,125.05,1.0995,125.9115,124.19,51324,1,1.67
EA,113.01,0.307,113.495,0.1279,114.28,113.01,20730,0,0.0
GOOGL,100.12,0.5701,101.015,-0.5954,101.75,99.88,159571,-3,-0.26
AMZN,98.41,0.654,96.95,-2.0212,98.48,95.7,586752,5,0.76
AMD,96.3,1.2384,96.005,-1.8755,96.79,92.9,455935,3,-0.75
SONY,87.52,0.8784,88.43,2.2076,89.16,87.33,2079,0,0.0
INTC,29.8,0.5358,29.085,-2.4321,29.9,28.63,130822,0,-0.38
CVNA,7.43,0.26,6.918,-9.5686,7.81,6.9,23282,0,-1.89
SOFI,5.47,0.6307,5.245,-3.9377,5.54,5.24,91584,0,1.07
AMC,4.25,0.3592,4.295,2.7512,4.38,4.14,411738,-8,-0.63
