relvolume,price,symbol,percentchange,high,low,open,watchers,hourchange,sentiment
0.2613,449.06,NOC,1.2308,452.2,445.36,445.27,8002,0,9.09
1.0191,270.59,MSFT,-3.1636,277.48,269.85,276.98,441926,12,0.03
0.6916,259.07,NVDA,0.7075,260.24,251.3,256.15,419413,7,1.25
0.5791,197.265,META,0.8461,199.36,193.64,198.48,511735,-1,0.4
0.9806,192.35,ENPH,4.743,196.88,185.2,189.59,37207,3,0.71
0.6102,183.57,TSLA,1.9097,186.44,176.35,178.08,888853,2,-0.56
0.6872,157.47,AAPL,1.5935,157.8,154.15,155.07,876008,3,-1.19
1.3584,126.81,JPM,0.7948,129.46,126.01,126.99,82200,8,0.53
0.5235,125.23,IBM,1.245,125.9115,124.19,124.31,51324,1,1.67
0.3174,113.72,EA,0.3264,114.28,113.01,113.01,20730,0,0.0
0.5797,101.29,GOOGL,-0.3247,101.75,99.88,100.12,159571,-3,-0.26
0.6643,97.175,AMZN,-1.7938,98.48,95.7,98.41,586752,5,0.76
1.2711,96.42,AMD,-1.4513,96.79,92.9,96.3,455935,3,-0.75
0.8902,88.45,SONY,2.2307,89.16,87.33,87.52,2079,0,0.0
0.547,29.16,INTC,-2.1805,29.9,28.63,29.8,130822,0,-0.38
0.2663,6.93,CVNA,-9.4118,7.81,6.9,7.43,23282,0,-1.89
0.6433,5.27,SOFI,-3.4799,5.54,5.24,5.47,91584,0,1.07
0.362,4.2966,AMC,2.7895,4.38,4.14,4.25,411738,-8,-0.63
