symbol,open,price,low,percentchange,high,relvolume,watchers,hourchange,sentiment
NOC,445.27,450.5,445.36,1.5555,452.2,0.3567,8002,0,9.09
MSFT,276.98,270.775,269.85,-3.0974,277.48,1.1134,441930,4,-0.03
NVDA,256.15,259.0779,251.3,0.7106,260.24,0.7548,419417,4,1.07
META,198.48,197.34,193.64,0.8844,199.36,0.6503,511735,0,0.54
ENPH,189.59,192.27,185.2,4.6994,196.88,1.0793,37203,-4,0.93
TSLA,178.08,183.41,176.35,1.8209,186.44,0.6637,888857,4,-0.43
AAPL,155.07,157.475,154.15,1.5968,157.81,0.7676,876013,5,-0.7
JPM,126.99,127.12,126.01,1.0413,129.46,1.4795,82205,5,0.49
IBM,124.31,125.545,124.19,1.4997,125.9115,0.6096,51324,0,-0.86
EA,113.01,113.42,113.01,0.0618,114.28,0.426,20730,0,0.0
GOOGL,100.12,101.07,99.88,-0.5412,101.75,0.649,159575,4,-0.31
AMZN,98.41,97.2601,95.7,-1.7078,98.48,0.7145,586756,4,0.75
AMD,96.3,96.2899,92.9,-1.5843,96.79,1.4355,455936,1,-0.73
SONY,87.52,88.46,87.33,2.2423,89.16,0.9683,2079,0,0.0
INTC,29.8,29.28,28.63,-1.7779,29.9,0.6562,130823,1,0.19
CVNA,7.43,6.945,6.87,-9.2157,7.81,0.2982,23279,-3,-1.47
SOFI,5.47,5.245,5.22,-3.9377,5.54,0.741,91583,-1,1.29
AMC,4.25,4.325,4.14,3.4689,4.38,0.4086,411739,1,-0.62
