high,relvolume,symbol,open,percentchange,price,low,watchers,hourchange,sentiment
126.1508,0.7973,IBM,124.31,1.8514,125.98,124.19,51325,1,1.06
5.54,0.8466,SOFI,5.47,-4.304,5.225,5.19,91582,-1,1.06
114.28,0.5323,EA,113.01,0.0706,113.43,113.01,20730,0,33.33
260.24,0.819,NVDA,256.15,0.6025,258.8,251.3,419424,7,0.91
199.36,0.723,META,198.48,1.1196,197.8,193.64,511735,0,0.6
277.48,1.2161,MSFT,276.98,-2.6769,271.95,269.85,441936,6,-0.02
96.94,1.5349,AMD,96.3,-1.0221,96.84,92.9,455939,3,-0.85
7.81,0.3366,CVNA,7.43,-7.6471,7.065,6.87,23279,0,-1.45
98.48,0.7742,AMZN,98.41,-1.3239,97.64,95.7,586756,0,0.39
129.46,1.609,JPM,126.99,0.9856,127.05,126.01,82206,1,1.04
452.2,0.4475,NOC,445.27,1.2703,449.235,445.36,8002,0,9.09
4.38,0.4546,AMC,4.25,2.3923,4.28,4.14,411733,-6,-0.65
101.75,0.7301,GOOGL,100.12,-0.3936,101.22,99.88,159582,7,-0.4
186.44,0.6925,TSLA,178.08,1.6433,183.09,176.35,888858,1,-0.74
89.16,1.1668,SONY,87.52,2.196,88.42,87.33,2079,0,0.0
157.81,0.8489,AAPL,155.07,1.5677,157.43,154.15,876018,5,-0.47
196.88,1.1646,ENPH,189.59,4.8573,192.56,185.2,37206,3,0.99
29.9,0.7742,INTC,29.8,-2.1972,29.155,28.63,130821,-2,-0.38
