percentchange,open,relvolume,price,symbol,low,high,watchers,hourchange,sentiment
0.9856,126.99,1.609,127.05,JPM,126.01,129.46,82206,1,1.04
1.2703,445.27,0.4475,449.235,NOC,445.36,452.2,8002,0,9.09
2.3923,4.25,0.4546,4.28,AMC,4.14,4.38,411733,-6,-0.65
-0.3936,100.12,0.7301,101.22,GOOGL,99.88,101.75,159582,7,-0.4
1.6433,178.08,0.6925,183.09,TSLA,176.35,186.44,888858,1,-0.74
2.196,87.52,1.1668,88.42,SONY,87.33,89.16,2079,0,0.0
1.5677,155.07,0.8489,157.43,AAPL,154.15,157.81,876018,5,-0.47
4.8573,189.59,1.1646,192.56,ENPH,185.2,196.88,37206,3,0.99
-2.1972,29.8,0.7742,29.155,INTC,28.63,29.9,130821,-2,-0.38
1.8514,124.31,0.7973,125.98,IBM,124.19,126.1508,51325,1,1.06
-4.304,5.47,0.8466,5.225,SOFI,5.19,5.54,91582,-1,1.06
0.0706,113.01,0.5323,113.43,EA,113.01,114.28,20730,0,33.33
0.6025,256.15,0.819,258.8,NVDA,251.3,260.24,419424,7,0.91
-2.6769,276.98,1.2161,271.95,MSFT,269.85,277.48,441936,6,-0.02
1.1196,198.48,0.723,197.8,META,193.64,199.36,511735,0,0.6
-1.0221,96.3,1.5349,96.84,AMD,92.9,96.94,455939,3,-0.85
-7.6471,7.43,0.3366,7.065,CVNA,6.87,7.81,23279,0,-1.45
-1.3239,98.41,0.7742,97.64,AMZN,95.7,98.48,586756,0,0.39
