price,low,percentchange,symbol,high,relvolume,open,watchers,hourchange,sentiment
97.71,95.7,-1.2532,AMZN,98.48,0.7742,98.41,586756,0,0.39
127.14,126.01,1.0571,JPM,129.46,1.609,126.99,82206,1,1.04
449.26,445.36,1.2759,NOC,452.2,0.4475,445.27,8002,0,9.09
4.27,4.14,2.1531,AMC,4.38,0.4546,4.25,411733,-6,-0.65
101.22,99.88,-0.3936,GOOGL,101.75,0.7301,100.12,159582,7,-0.4
183.25,176.35,1.7321,TSLA,186.44,0.6925,178.08,888858,1,-0.74
88.42,87.33,2.196,SONY,89.16,1.1668,87.52,2079,0,0.0
157.4,154.15,1.5484,AAPL,157.81,0.8489,155.07,876018,5,-0.47
192.51,185.2,4.8301,ENPH,196.88,1.1646,189.59,37206,3,0.99
29.16,28.63,-2.1805,INTC,29.9,0.7742,29.8,130821,-2,-0.38
125.94,124.19,1.8191,IBM,126.1508,0.7973,124.31,51325,1,1.06
5.22,5.19,-4.3956,SOFI,5.54,0.8466,5.47,91582,-1,1.06
113.52,113.01,0.15,EA,114.28,0.5323,113.01,20730,0,33.33
259.0,251.3,0.6803,NVDA,260.24,0.819,256.15,419424,7,0.91
272.23,269.85,-2.5767,MSFT,277.48,1.2161,276.98,441936,6,-0.02
197.81,193.64,1.1247,META,199.36,0.723,198.48,511735,0,0.6
96.81,92.9,-1.0527,AMD,96.94,1.5349,96.3,455939,3,-0.85
7.07,6.87,-7.5817,CVNA,7.81,0.3366,7.43,23279,0,-1.45
