symbol,open,percentchange,high,relvolume,low,price,watchers,hourchange,sentiment
JPM,126.99,1.0571,129.47,1.609,126.01,127.14,82211,5,0.42
NOC,445.27,1.2759,452.31,0.4475,445.005,449.26,8003,1,9.09
TSLA,178.08,1.7321,186.44,0.6925,176.35,183.25,888857,-1,-0.29
AMC,4.25,2.1531,4.38,0.4546,4.14,4.27,411725,-8,-0.53
SONY,87.52,2.196,89.16,1.1668,87.33,88.42,2079,0,0.0
GOOGL,100.12,-0.3936,101.75,0.7301,99.88,101.22,159582,0,-0.42
AAPL,155.07,1.5484,157.81,0.8489,154.15,157.4,876025,7,-0.31
ENPH,189.59,4.8301,196.88,1.1646,185.2,192.51,37209,3,1.18
INTC,29.8,-2.1805,29.9,0.7742,28.63,29.16,130821,0,-0.56
IBM,124.31,1.8191,126.1508,0.7973,124.19,125.94,51327,2,1.06
SOFI,5.47,-4.3956,5.54,0.8466,5.19,5.22,91578,-4,1.06
NVDA,256.15,0.6803,260.24,0.819,251.3,259.0,419428,4,1.0
EA,113.01,0.15,114.28,0.5323,113.01,113.52,20730,0,33.33
META,198.48,1.1247,199.36,0.723,193.64,197.81,511733,-2,0.68
CVNA,7.43,-7.5817,7.82,0.3366,6.87,7.07,23279,0,-1.45
AMD,96.3,-1.0527,96.94,1.5349,92.9,96.81,455937,-2,-0.78
MSFT,276.98,-2.5767,277.48,1.2161,269.85,272.23,441940,4,0.1
AMZN,98.41,-1.2532,98.48,0.7742,95.7,97.71,586757,1,0.97
