percentchange,open,high,relvolume,low,price,symbol,watchers,hourchange,sentiment
-2.1805,29.8,29.9,0.7742,28.63,29.16,INTC,130821,0,-0.56
1.8191,124.31,126.1508,0.7973,124.19,125.94,IBM,51327,2,1.06
-4.3956,5.47,5.54,0.8466,5.19,5.22,SOFI,91578,-4,1.06
0.6803,256.15,260.24,0.819,251.3,259.0,NVDA,419428,4,1.0
0.15,113.01,114.28,0.5323,113.01,113.52,EA,20730,0,33.33
1.1247,198.48,199.36,0.723,193.64,197.81,META,511733,-2,0.68
-7.5817,7.43,7.82,0.3366,6.87,7.07,CVNA,23279,0,-1.45
-2.5767,276.98,277.48,1.2161,269.85,272.23,MSFT,441940,4,0.1
-1.0527,96.3,96.94,1.5349,92.9,96.81,AMD,455937,-2,-0.78
-1.2532,98.41,98.48,0.7742,95.7,97.71,AMZN,586757,1,0.97
1.0571,126.99,129.47,1.609,126.01,127.14,JPM,82211,5,0.42
1.2759,445.27,452.31,0.4475,445.005,449.26,NOC,8003,1,9.09
2.1531,4.25,4.38,0.4546,4.14,4.27,AMC,411725,-8,-0.53
1.7321,178.08,186.44,0.6925,176.35,183.25,TSLA,888857,-1,-0.29
2.196,87.52,89.16,1.1668,87.33,88.42,SONY,2079,0,0.0
-0.3936,100.12,101.75,0.7301,99.88,101.22,GOOGL,159582,0,-0.42
1.5484,155.07,157.81,0.8489,154.15,157.4,AAPL,876025,7,-0.31
4.8301,189.59,196.88,1.1646,185.2,192.51,ENPH,37209,3,1.18
