open,percentchange,high,low,price,relvolume,symbol,watchers,hourchange,sentiment
100.12,-0.3936,101.75,99.88,101.22,0.7301,GOOGL,159581,-1,-0.64
87.52,2.196,89.16,87.33,88.42,1.1668,SONY,2079,0,0.0
155.07,1.5484,157.81,154.15,157.4,0.8489,AAPL,876026,1,-0.1
189.59,4.8301,196.88,185.2,192.51,1.1646,ENPH,37212,3,1.32
29.8,-2.1805,29.9,28.63,29.16,0.7742,INTC,130821,0,-0.99
256.15,0.6803,260.24,251.3,259.0,0.819,NVDA,419428,0,0.83
124.31,1.8191,126.1508,124.19,125.94,0.7973,IBM,51327,0,1.06
5.47,-4.3956,5.54,5.19,5.22,0.8466,SOFI,91588,10,1.1
113.01,0.15,114.28,113.01,113.52,0.5323,EA,20730,0,33.33
198.48,1.1247,199.36,193.64,197.81,0.723,META,511732,-1,1.13
7.43,-7.5817,7.82,6.87,7.07,0.3366,CVNA,23276,-3,-1.45
276.98,-2.5767,277.48,269.85,272.23,1.2161,MSFT,441940,0,0.19
96.3,-1.0527,96.94,92.9,96.81,1.5349,AMD,455937,0,-0.82
126.99,1.0571,129.47,126.01,127.14,1.609,JPM,82212,1,0.88
98.41,-1.2532,98.48,95.7,97.71,0.7742,AMZN,586757,0,0.92
445.27,1.2759,452.31,445.005,449.26,0.4475,NOC,8003,0,8.33
4.25,2.1531,4.38,4.14,4.27,0.4546,AMC,411726,1,-0.43
178.08,1.7321,186.44,176.35,183.25,0.6925,TSLA,888856,-1,-0.19
