symbol,percentchange,relvolume,open,high,price,low,watchers,hourchange,sentiment
INTC,-2.1805,0.7742,29.8,29.9,29.16,28.63,130821,0,-0.99
ENPH,4.8301,1.1646,189.59,196.88,192.51,185.2,37212,3,1.32
IBM,1.8191,0.7973,124.31,126.1508,125.94,124.19,51327,0,1.06
NVDA,0.6803,0.819,256.15,260.24,259.0,251.3,419428,0,0.83
SOFI,-4.3956,0.8466,5.47,5.54,5.22,5.19,91588,10,1.1
META,1.1247,0.723,198.48,199.36,197.81,193.64,511732,-1,1.13
EA,0.15,0.5323,113.01,114.28,113.52,113.01,20730,0,33.33
CVNA,-7.5817,0.3366,7.43,7.82,7.07,6.87,23276,-3,-1.45
AMZN,-1.2532,0.7742,98.41,98.48,97.71,95.7,586757,0,0.92
JPM,1.0571,1.609,126.99,129.47,127.14,126.01,82212,1,0.88
AMD,-1.0527,1.5349,96.3,96.94,96.81,92.9,455937,0,-0.82
MSFT,-2.5767,1.2161,276.98,277.48,272.23,269.85,441940,0,0.19
AMC,2.1531,0.4546,4.25,4.38,4.27,4.14,411726,1,-0.43
NOC,1.2759,0.4475,445.27,452.31,449.26,445.005,8003,0,8.33
TSLA,1.7321,0.6925,178.08,186.44,183.25,176.35,888856,-1,-0.19
GOOGL,-0.3936,0.7301,100.12,101.75,101.22,99.88,159581,-1,-0.64
SONY,2.196,1.1668,87.52,89.16,88.42,87.33,2079,0,0.0
AAPL,1.5484,0.8489,155.07,157.81,157.4,154.15,876026,1,-0.1
