percentchange,low,relvolume,price,symbol,open,high,watchers,hourchange,sentiment
2.1531,4.14,0.4546,4.27,AMC,4.25,4.38,411726,1,-0.43
1.2759,445.005,0.4475,449.26,NOC,445.27,452.31,8003,0,8.33
1.7321,176.35,0.6925,183.25,TSLA,178.08,186.44,888856,-1,-0.19
-0.3936,99.88,0.7301,101.22,GOOGL,100.12,101.75,159581,-1,-0.64
2.196,87.33,1.1668,88.42,SONY,87.52,89.16,2079,0,0.0
1.5484,154.15,0.8489,157.4,AAPL,155.07,157.81,876026,1,-0.1
4.8301,185.2,1.1646,192.51,ENPH,189.59,196.88,37212,3,1.32
-2.1805,28.63,0.7742,29.16,INTC,29.8,29.9,130821,0,-0.99
1.8191,124.19,0.7973,125.94,IBM,124.31,126.16,51327,0,1.06
0.6803,251.3,0.819,259.0,NVDA,256.15,260.24,419428,0,0.83
-4.3956,5.19,0.8466,5.22,SOFI,5.47,5.54,91588,10,1.1
1.1247,193.64,0.723,197.81,META,198.48,199.36,511732,-1,1.13
0.15,113.01,0.5323,113.52,EA,113.01,114.28,20730,0,33.33
-7.5817,6.87,0.3366,7.07,CVNA,7.43,7.82,23276,-3,-1.45
-2.5767,269.85,1.2161,272.23,MSFT,276.98,277.48,441940,0,0.19
-1.2532,95.7,0.7742,97.71,AMZN,98.41,98.48,586757,0,0.92
1.0571,126.01,1.609,127.14,JPM,126.99,129.47,82212,1,0.88
-1.0527,92.9,1.5349,96.81,AMD,96.3,96.94,455937,0,-0.82
