relvolume,percentchange,price,open,low,high,symbol,watchers,hourchange,sentiment
0.7973,1.8191,125.94,124.31,124.19,126.16,IBM,51327,0,1.06
0.819,0.6803,259.0,256.15,251.3,260.24,NVDA,419430,2,0.65
0.8466,-4.3956,5.22,5.47,5.19,5.54,SOFI,91589,1,1.08
0.723,1.1247,197.81,198.48,193.64,199.36,META,511736,4,1.16
0.5323,0.15,113.52,113.01,113.01,114.28,EA,20731,1,33.33
0.3366,-7.5817,7.07,7.43,6.87,7.82,CVNA,23279,3,-1.62
0.7742,-1.2532,97.71,98.41,95.7,98.48,AMZN,586764,7,0.79
1.2161,-2.5767,272.23,276.98,269.85,277.48,MSFT,441941,1,0.02
1.609,1.0571,127.14,126.99,126.01,129.47,JPM,82205,-7,0.76
1.5349,-1.0527,96.81,96.3,92.9,96.94,AMD,455937,0,-0.84
0.4546,2.1531,4.27,4.25,4.14,4.38,AMC,411726,0,-0.43
0.4475,1.2759,449.26,445.27,445.005,452.31,NOC,8003,0,8.33
0.6925,1.7321,183.25,178.08,176.35,186.44,TSLA,888858,2,-0.39
0.7301,-0.3936,101.22,100.12,99.88,101.75,GOOGL,159582,1,-0.64
1.1668,2.196,88.42,87.52,87.33,89.16,SONY,2079,0,0.0
0.8489,1.5484,157.4,155.07,154.15,157.81,AAPL,876027,1,-0.2
1.1646,4.8301,192.51,189.59,185.2,196.88,ENPH,37209,-3,1.58
0.7742,-2.1805,29.16,29.8,28.63,29.9,INTC,130824,3,-1.08
