open,high,symbol,relvolume,price,low,percentchange,watchers,hourchange,sentiment
113.01,114.28,EA,0.5323,113.52,113.01,0.15,20731,0,33.33
7.43,7.81,CVNA,0.3366,7.07,6.87,-7.5817,23279,0,-2.03
96.3,96.94,AMD,1.5349,96.81,92.9,-1.0527,455939,2,-0.7
98.41,98.48,AMZN,0.7742,97.71,95.7,-1.2532,586770,6,0.69
276.98,277.48,MSFT,1.2161,272.23,269.85,-2.5767,441943,2,0.02
126.99,129.46,JPM,1.609,127.14,126.01,1.0571,82210,5,0.55
4.25,4.38,AMC,0.4546,4.27,4.14,2.1531,411730,4,-0.45
178.08,186.44,TSLA,0.6925,183.25,176.35,1.7321,888860,2,-0.26
445.27,452.2,NOC,0.4475,449.26,445.36,1.2759,8003,0,8.33
100.12,101.75,GOOGL,0.7301,101.22,99.88,-0.3936,159585,3,-0.62
87.52,89.16,SONY,1.1668,88.42,87.33,2.196,2079,0,0.0
189.59,196.88,ENPH,1.1646,192.51,185.2,4.8301,37213,4,1.7
155.07,157.81,AAPL,0.8489,157.4,154.15,1.5484,876035,8,0.22
29.8,29.9,INTC,0.7742,29.16,28.63,-2.1805,130826,2,-1.51
124.31,126.1508,IBM,0.7973,125.94,124.19,1.8191,51327,0,1.06
256.15,260.24,NVDA,0.819,259.0,251.3,0.6803,419434,4,0.7
198.48,199.36,META,0.723,197.81,193.64,1.1247,511744,8,1.5
5.47,5.54,SOFI,0.8466,5.22,5.19,-4.3956,91592,3,1.11
