percentchange,open,low,price,relvolume,high,symbol,watchers,hourchange,sentiment
0.15,113.01,113.01,113.52,0.5323,114.28,EA,20731,0,33.33
-7.5817,7.43,6.87,7.07,0.3366,7.81,CVNA,23279,0,-1.75
-1.0527,96.3,92.9,96.81,1.5349,96.94,AMD,455939,0,-0.57
-1.2532,98.41,95.7,97.71,0.7742,98.48,AMZN,586767,-3,0.6
-2.5767,276.98,269.85,272.23,1.2161,277.48,MSFT,441943,0,-0.11
1.0571,126.99,126.01,127.14,1.609,129.46,JPM,82210,0,0.24
2.1531,4.25,4.14,4.27,0.4546,4.38,AMC,411730,0,-0.49
1.7321,178.08,176.35,183.25,0.6925,186.44,TSLA,888860,0,-0.22
1.2759,445.27,445.36,449.26,0.4475,452.2,NOC,8003,0,8.33
-0.3936,100.12,99.88,101.22,0.7301,101.75,GOOGL,159585,0,-0.9
2.196,87.52,87.33,88.42,1.1668,89.16,SONY,2079,0,0.0
4.8301,189.59,185.2,192.51,1.1646,196.88,ENPH,37212,-1,1.63
1.5484,155.07,154.15,157.4,0.8489,157.81,AAPL,876037,2,0.17
-2.1805,29.8,28.63,29.16,0.7742,29.9,INTC,130826,0,-1.34
1.8191,124.31,124.19,125.94,0.7973,126.1508,IBM,51327,0,1.06
0.6803,256.15,251.3,259.0,0.819,260.24,NVDA,419437,3,0.66
1.1247,198.48,193.64,197.81,0.723,199.36,META,511744,0,1.27
-4.3956,5.47,5.19,5.22,0.8466,5.54,SOFI,91592,0,1.15
