open,symbol,relvolume,percentchange,price,low,high,watchers,hourchange,sentiment
453.79,NOC,0.2886,-0.3717,447.59,447.59,454.66,8009,0,0.0
274.88,MSFT,0.6361,-0.4507,271.003,269.53,274.95,441999,7,0.61
261.8,NVDA,0.7512,0.7761,261.01,253.82,263.5,419520,9,-1.29
196.93,ENPH,0.9194,6.9892,205.965,195.44,208.825,37215,-1,3.03
203.2,META,0.697,1.1779,200.14,197.96,203.515,511799,2,1.29
188.28,TSLA,0.5988,6.4256,195.025,188.04,196.35,888942,6,0.33
157.32,AAPL,0.5817,0.7751,158.62,156.54,159.1,876116,0,1.41
130.59,JPM,0.8296,2.5877,130.43,130.19,131.73,82247,1,0.01
126.9,IBM,0.3219,-0.1297,125.7767,125.66,127.08,51323,0,2.26
113.11,EA,0.4712,0.7047,114.32,113.11,114.91,20731,0,25.0
101.25,GOOGL,0.6205,3.2652,104.525,101.22,105.0996,159607,1,-1.05
98.14,AMZN,0.4976,2.1441,99.805,98.0,100.055,586850,11,0.76
97.0,AMD,1.0878,-1.1777,95.6699,93.64,99.46,455984,7,-1.47
89.08,SONY,0.5089,0.622,88.97,88.71,89.29,2079,0,0.0
29.0,INTC,0.7786,-3.4808,28.145,27.975,29.165,130848,3,0.45
7.19,CVNA,0.2705,11.2447,7.865,7.18,8.09,23276,-1,-1.32
5.35,SOFI,0.4881,4.8851,5.475,5.3243,5.51,91592,1,-0.25
4.33,AMC,0.3515,2.459,4.375,4.2115,4.445,411739,0,-0.13
