low,high,relvolume,symbol,open,percentchange,price,watchers,hourchange,sentiment
447.07,454.66,0.309,NOC,453.79,-0.3072,447.88,8009,0,0.0
269.53,274.95,0.6594,MSFT,274.88,-0.2608,271.52,441995,-4,0.37
253.82,263.5,0.7884,NVDA,261.8,0.7181,260.86,419531,11,-0.57
195.44,208.825,0.9493,ENPH,196.93,7.0594,206.1,37216,1,3.17
197.96,203.515,0.7163,META,203.2,1.4307,200.64,511803,4,1.16
188.04,196.35,0.6315,TSLA,188.28,7.0068,196.09,888949,7,-0.36
156.54,159.1,0.6054,AAPL,157.32,0.7179,158.53,876114,-2,1.16
130.19,131.73,0.865,JPM,130.59,2.6624,130.525,82252,5,0.19
125.66,127.08,0.3402,IBM,126.9,-0.1112,125.8,51324,1,3.26
113.11,114.91,0.4936,EA,113.11,0.6342,114.24,20731,0,25.0
101.22,105.0996,0.6838,GOOGL,101.25,2.9243,104.18,159611,4,-0.94
98.0,100.17,0.5296,AMZN,98.14,2.4972,100.15,586851,1,0.46
93.64,99.46,1.1327,AMD,97.0,-0.8883,95.95,455987,3,-1.5
88.71,89.29,0.5286,SONY,89.08,0.5881,88.94,2079,0,0.0
27.975,29.165,0.8248,INTC,29.0,-2.9321,28.305,130847,-1,-0.27
7.18,8.09,0.2797,CVNA,7.19,10.4668,7.81,23282,6,-0.63
5.3243,5.54,0.5167,SOFI,5.35,6.0785,5.5373,91589,-3,-0.56
4.2115,4.445,0.3656,AMC,4.33,2.9274,4.395,411741,2,0.67
