symbol,percentchange,price,low,relvolume,open,high,watchers,hourchange,sentiment
NOC,-0.2649,448.07,447.07,0.329,453.79,454.66,8009,0,0.0
MSFT,-0.3196,271.36,269.53,0.6847,274.88,274.95,441995,-4,0.37
NVDA,0.8362,261.1657,253.82,0.8231,261.8,263.5,419531,11,-0.57
ENPH,7.0905,206.16,195.44,0.9708,196.93,208.825,37216,1,3.17
META,1.6152,201.005,197.96,0.7421,203.2,203.515,511803,4,1.16
TSLA,7.427,196.86,188.04,0.6595,188.28,197.1,888949,7,-0.36
AAPL,0.7306,158.55,156.54,0.6339,157.32,159.1,876114,-2,1.16
JPM,2.6191,130.4699,130.19,0.9042,130.59,131.73,82252,5,0.19
IBM,-0.0873,125.83,125.66,0.3597,126.9,127.08,51324,1,3.26
EA,0.5946,114.195,113.11,0.5218,113.11,114.91,20731,0,25.0
GOOGL,2.9342,104.19,101.22,0.7227,101.25,105.0996,159611,4,-0.94
AMZN,2.5484,100.2,98.0,0.5584,98.14,100.42,586851,1,0.46
AMD,-0.7489,96.085,93.64,1.1695,97.0,99.46,455987,3,-1.5
SONY,0.656,89.0,88.71,0.5518,89.08,89.29,2079,0,0.0
INTC,-2.7778,28.35,27.975,0.8659,29.0,29.165,130847,-1,-0.27
CVNA,9.5474,7.745,7.18,0.2889,7.19,8.09,23282,6,-0.63
SOFI,6.0345,5.535,5.3243,0.5667,5.35,5.58,91589,-3,-0.56
AMC,2.7588,4.3878,4.2115,0.3777,4.33,4.445,411741,2,0.67
