relvolume,symbol,price,high,open,low,percentchange,watchers,hourchange,sentiment
0.3756,NOC,448.74,454.66,453.79,447.07,-0.1157,8009,0,0.0
0.7563,MSFT,272.99,274.95,274.88,269.53,0.2792,441998,3,0.61
0.9493,NVDA,263.395,263.78,261.8,253.82,1.6969,419540,9,0.06
1.0515,ENPH,207.67,208.825,196.93,195.44,7.8749,37220,4,3.22
0.8186,META,201.745,203.515,203.2,197.96,1.9893,511808,5,1.45
0.7432,TSLA,197.09,197.99,188.28,188.04,7.5525,888963,14,-0.61
0.7247,AAPL,158.915,159.1,157.32,156.54,0.9625,876120,6,1.85
1.0035,JPM,130.5315,131.73,130.59,130.19,2.6675,82252,0,-0.12
0.4268,IBM,126.335,127.08,126.9,125.66,0.3136,51324,0,4.9
0.6109,EA,114.73,114.91,113.11,113.11,1.0659,20730,-1,-8.33
0.8132,GOOGL,104.57,105.0996,101.25,101.22,3.3096,159617,6,-1.7
0.638,AMZN,100.455,100.5518,98.14,98.0,2.8093,586861,10,1.33
1.2869,AMD,96.23,99.46,97.0,93.64,-0.5991,455984,-3,-1.43
0.631,SONY,89.515,89.52,89.08,88.71,1.2384,2079,0,0.0
0.9649,INTC,28.545,29.165,29.0,27.975,-2.1091,130844,-3,-0.14
0.3181,CVNA,7.808,8.09,7.19,7.18,10.4385,23283,1,-0.67
0.6476,SOFI,5.58,5.6,5.35,5.3243,6.8966,91593,4,-0.27
0.4139,AMC,4.395,4.445,4.33,4.2115,2.9274,411743,2,0.98
