percentchange,low,open,high,symbol,relvolume,price,watchers,hourchange,sentiment
-0.0601,447.07,453.79,454.66,NOC,0.3908,448.99,8009,0,0.0
0.3537,269.53,274.88,274.95,MSFT,0.7774,273.193,441998,3,0.61
1.7259,253.82,261.8,263.78,NVDA,0.973,263.47,419540,9,0.06
8.184,195.44,196.93,208.825,ENPH,1.0781,208.265,37220,4,3.22
2.2401,197.96,203.2,203.515,META,0.8393,202.2412,511808,5,1.45
7.5362,188.04,188.28,197.99,TSLA,0.761,197.06,888963,14,-0.61
1.0864,156.54,157.32,159.11,AAPL,0.7448,159.11,876120,6,1.85
2.7253,130.19,130.59,131.73,JPM,1.03,130.605,82252,0,-0.12
0.4131,125.66,126.9,127.08,IBM,0.4413,126.4603,51324,0,4.9
1.154,113.11,113.11,114.91,EA,0.6367,114.83,20730,-1,-8.33
3.6949,101.22,101.25,105.0996,GOOGL,0.8384,104.96,159617,6,-1.7
3.0703,98.0,98.14,100.71,AMZN,0.6589,100.71,586861,10,1.33
-0.3822,93.64,97.0,99.46,AMD,1.313,96.44,455984,-3,-1.43
1.3176,88.71,89.08,89.585,SONY,0.6709,89.585,2079,0,0.0
-1.9204,27.975,29.0,29.165,INTC,0.9935,28.6,130844,-3,-0.14
11.611,7.18,7.19,8.09,CVNA,0.328,7.8909,23283,1,-0.67
6.8966,5.3243,5.35,5.6,SOFI,0.6696,5.58,91593,4,-0.27
2.8103,4.2115,4.33,4.445,AMC,0.4208,4.39,411743,2,0.98
