symbol,open,price,relvolume,high,low,percentchange,watchers,hourchange,sentiment
NOC,453.79,449.285,0.412,454.66,447.07,0.0056,8009,0,0.0
MSFT,274.88,273.42,0.8059,274.95,269.53,0.4371,441998,3,0.61
NVDA,261.8,263.13,1.0022,263.91,253.82,1.5946,419540,9,0.06
ENPH,196.93,208.84,1.112,209.33,195.44,8.4827,37220,4,3.22
META,203.2,202.66,0.8652,203.515,197.96,2.4518,511808,5,1.45
TSLA,188.28,197.42,0.7811,197.99,188.04,7.7326,888963,14,-0.61
AAPL,157.32,159.21,0.7734,159.31,156.54,1.1499,876120,6,1.85
JPM,130.59,130.62,1.0767,131.73,130.19,2.7371,82252,0,-0.12
IBM,126.9,126.65,0.4676,127.08,125.66,0.5638,51324,0,4.9
EA,113.11,115.07,0.6805,115.14,113.11,1.3654,20730,-1,-8.33
GOOGL,101.25,105.05,0.8826,105.0996,101.22,3.7838,159617,6,-1.7
AMZN,98.14,100.735,0.6872,100.84,98.0,3.0959,586861,10,1.33
AMD,97.0,96.33,1.363,99.46,93.64,-0.4958,455984,-3,-1.43
SONY,89.08,89.585,0.7298,89.7,88.71,1.3176,2079,0,0.0
INTC,29.0,28.6,1.0371,29.165,27.975,-1.9204,130844,-3,-0.14
CVNA,7.19,7.915,0.3343,8.09,7.18,11.9519,23283,1,-0.67
SOFI,5.35,5.585,0.6853,5.6,5.3243,6.9923,91593,4,-0.27
AMC,4.33,4.405,0.4306,4.445,4.2115,3.1616,411743,2,0.98
