low,symbol,relvolume,open,high,price,percentchange,watchers,hourchange,sentiment
447.07,NOC,0.472,453.79,454.66,449.76,0.1113,8009,0,0.0
269.53,MSFT,0.8582,274.88,274.95,273.41,0.4335,441998,3,0.61
253.82,NVDA,1.0443,261.8,263.91,261.795,1.0792,419540,9,0.06
195.44,ENPH,1.1827,196.93,209.33,207.41,7.7399,37220,4,3.22
197.96,META,0.9155,203.2,203.515,201.9211,2.0783,511808,5,1.45
188.04,TSLA,0.8096,188.28,197.99,197.48,7.7653,888963,14,-0.61
156.54,AAPL,0.8214,157.32,159.38,159.22,1.1563,876120,6,1.85
130.19,JPM,1.1569,130.59,131.73,130.45,2.6034,82252,0,-0.12
125.66,IBM,0.5415,126.9,127.08,126.53,0.4685,51324,0,4.9
113.11,EA,0.7754,113.11,115.15,114.85,1.1716,20730,-1,-8.33
101.22,GOOGL,0.949,101.25,105.0996,104.82,3.5566,159617,6,-1.7
98.0,AMZN,0.7329,98.14,100.84,100.48,2.8349,586861,10,1.33
93.64,AMD,1.4062,97.0,99.46,95.84,-1.002,455984,-3,-1.43
88.71,SONY,0.8793,89.08,89.7,89.36,1.0631,2079,0,0.0
27.975,INTC,1.1245,29.0,29.165,28.425,-2.5206,130844,-3,-0.14
7.18,CVNA,0.3545,7.19,8.09,7.925,12.0934,23283,1,-0.67
5.3243,SOFI,0.733,5.35,5.6,5.565,6.6092,91593,4,-0.27
4.2115,AMC,0.4458,4.33,4.445,4.4,3.0445,411743,2,0.98
