low,relvolume,open,high,percentchange,symbol,price,watchers,hourchange,sentiment
195.44,1.1827,196.93,209.33,7.8541,ENPH,207.63,37226,2,2.89
5.3243,0.733,5.35,5.6,6.705,SOFI,5.57,91599,4,0.53
197.96,0.9155,203.2,203.515,2.1991,META,202.16,511811,2,1.84
269.53,0.8582,274.88,274.95,0.5694,MSFT,273.78,442011,5,0.47
156.54,0.8214,157.32,159.4,1.1944,AAPL,159.28,876138,9,1.81
93.64,1.4062,97.0,99.46,-0.909,AMD,95.93,455987,0,-1.56
447.07,0.472,453.79,454.66,0.1603,NOC,449.98,8009,0,-9.09
125.66,0.5415,126.9,127.08,0.5002,IBM,126.57,51324,0,6.41
130.19,1.1569,130.59,131.73,2.6821,JPM,130.55,82252,-1,-0.12
253.82,1.0443,261.8,263.91,1.1544,NVDA,261.99,419561,12,0.87
113.11,0.7754,113.11,115.15,1.2509,EA,114.94,20730,0,-8.33
188.04,0.8096,188.28,197.99,7.8199,TSLA,197.58,888982,5,-1.09
101.22,0.949,101.25,105.0996,3.6554,GOOGL,104.92,159624,3,-2.08
4.2115,0.4458,4.33,4.4458,3.2787,AMC,4.41,411759,14,1.33
98.0,0.7329,98.14,100.84,2.968,AMZN,100.61,586865,0,1.07
7.18,0.3545,7.19,8.09,12.1641,CVNA,7.93,23284,0,0.18
88.71,0.8793,89.08,89.7,1.0744,SONY,89.37,2080,1,0.0
27.975,1.1245,29.0,29.165,-2.4005,INTC,28.46,130849,4,0.57
