relvolume,symbol,price,low,percentchange,open,high,watchers,hourchange,sentiment
1.1827,ENPH,207.63,195.44,7.8541,196.93,209.33,37226,2,2.89
0.9155,META,202.16,197.96,2.1991,203.2,203.515,511811,2,1.84
0.733,SOFI,5.57,5.3243,6.705,5.35,5.6,91599,4,0.53
0.8582,MSFT,273.78,269.53,0.5694,274.88,274.95,442011,5,0.47
0.8214,AAPL,159.28,156.54,1.1944,157.32,159.4,876138,9,1.81
0.472,NOC,449.98,447.07,0.1603,453.79,454.66,8009,0,-9.09
1.0443,NVDA,261.99,253.82,1.1544,261.8,263.91,419561,12,0.87
1.4062,AMD,95.93,93.64,-0.909,97.0,99.46,455987,0,-1.56
1.1569,JPM,130.55,130.19,2.6821,130.59,131.73,82252,-1,-0.12
0.5415,IBM,126.57,125.66,0.5002,126.9,127.08,51324,0,6.41
0.7754,EA,114.94,113.11,1.2509,113.11,115.15,20730,0,-8.33
0.8096,TSLA,197.58,188.04,7.8199,188.28,197.99,888982,5,-1.09
0.949,GOOGL,104.92,101.22,3.6554,101.25,105.0996,159624,3,-2.08
0.4458,AMC,4.41,4.2115,3.2787,4.33,4.445,411759,14,1.33
0.3545,CVNA,7.93,7.18,12.1641,7.19,8.09,23284,0,0.18
0.7329,AMZN,100.61,98.0,2.968,98.14,100.84,586865,0,1.07
0.8793,SONY,89.37,88.71,1.0744,89.08,89.7,2080,1,0.0
1.1245,INTC,28.46,27.975,-2.4005,29.0,29.165,130849,4,0.57
