high,symbol,low,percentchange,price,relvolume,open,watchers,hourchange,sentiment
274.95,MSFT,269.53,0.5694,273.78,0.8582,274.88,442015,4,0.47
159.4,AAPL,156.54,1.1944,159.28,0.8214,157.32,876148,10,1.8
263.91,NVDA,253.82,1.1544,261.99,1.0443,261.8,419567,6,0.87
99.46,AMD,93.64,-0.909,95.93,1.4062,97.0,455986,-1,-1.94
131.73,JPM,130.19,2.6821,130.55,1.1569,130.59,82253,1,-0.12
127.15,IBM,125.66,0.5002,126.57,0.5415,126.9,51324,0,6.41
454.66,NOC,447.07,0.1603,449.98,0.472,453.79,8009,0,-9.09
197.99,TSLA,188.04,7.8199,197.58,0.8096,188.28,888991,9,-1.09
115.15,EA,113.11,1.2509,114.94,0.7754,113.11,20730,0,-8.33
105.0996,GOOGL,101.22,3.6554,104.92,0.949,101.25,159624,0,-2.16
4.4458,AMC,4.2115,3.2787,4.41,0.4458,4.33,411775,16,1.63
8.09,CVNA,7.18,12.1641,7.93,0.3545,7.19,23284,0,-0.02
100.84,AMZN,98.0,2.968,100.61,0.7329,98.14,586870,5,1.03
89.7,SONY,88.71,1.0744,89.37,0.8793,89.08,2080,0,0.0
29.165,INTC,27.975,-2.4005,28.46,1.1245,29.0,130851,2,0.57
209.33,ENPH,195.44,7.8541,207.63,1.1827,196.93,37226,0,2.86
203.515,META,197.96,2.1991,202.16,0.9155,203.2,511816,5,1.52
5.6,SOFI,5.3243,6.705,5.57,0.733,5.35,91599,0,0.37
