open,low,relvolume,symbol,percentchange,price,high,watchers,hourchange,sentiment
196.93,195.44,1.1827,ENPH,7.8541,207.63,209.33,37227,1,2.66
203.2,197.96,0.9155,META,2.1991,202.16,203.515,511818,2,1.37
274.88,269.53,0.8582,MSFT,0.5694,273.78,274.95,442017,2,0.4
5.35,5.3243,0.733,SOFI,6.705,5.57,5.6,91600,1,0.48
157.32,156.54,0.8214,AAPL,1.1944,159.28,159.4,876153,5,1.78
97.0,93.64,1.4062,AMD,-0.909,95.93,99.46,455985,-1,-2.0
126.9,125.66,0.5415,IBM,0.5002,126.57,127.15,51324,0,6.41
130.59,130.19,1.1569,JPM,2.6821,130.55,131.73,82255,2,-0.04
261.8,253.82,1.0443,NVDA,1.1544,261.99,263.91,419570,3,0.97
453.79,447.07,0.472,NOC,0.1603,449.98,454.66,8009,0,-9.09
113.11,113.11,0.7754,EA,1.2509,114.94,115.15,20730,0,-8.33
188.28,188.04,0.8096,TSLA,7.8199,197.58,197.99,888994,3,-0.94
101.25,101.22,0.949,GOOGL,3.6554,104.92,105.0996,159625,1,-2.26
4.33,4.2115,0.4458,AMC,3.2787,4.41,4.4458,411794,19,2.01
7.19,7.18,0.3545,CVNA,12.1641,7.93,8.09,23282,-2,0.69
98.14,98.0,0.7329,AMZN,2.968,100.61,100.84,586871,1,1.31
89.08,88.71,0.8793,SONY,1.0744,89.37,89.7,2080,0,0.0
29.0,27.975,1.1245,INTC,-2.4005,28.46,29.165,130851,0,0.66
