high,open,low,symbol,relvolume,percentchange,price,watchers,hourchange,sentiment
454.66,453.79,447.07,NOC,0.472,0.1603,449.98,8008,-1,-10.0
263.91,261.8,253.82,NVDA,1.0443,1.1544,261.99,419580,3,1.05
197.99,188.28,188.04,TSLA,0.8096,7.8199,197.58,888999,4,-0.66
4.4458,4.33,4.2115,AMC,0.4458,3.2787,4.41,411833,16,3.2
105.0996,101.25,101.22,GOOGL,0.949,3.6554,104.92,159627,-1,-2.13
8.09,7.19,7.18,CVNA,0.3545,12.1641,7.93,23280,-1,1.75
89.7,89.08,88.71,SONY,0.8793,1.0744,89.37,2081,0,0.0
100.84,98.14,98.0,AMZN,0.7329,2.968,100.61,586872,-1,1.36
29.165,29.0,27.975,INTC,1.1245,-2.4005,28.46,130853,0,-0.52
203.515,203.2,197.96,META,0.9155,2.1991,202.16,511818,-2,1.57
274.95,274.88,269.53,MSFT,0.8582,0.5694,273.78,442020,-1,1.01
5.6,5.35,5.3243,SOFI,0.733,6.705,5.57,91602,3,0.66
209.33,196.93,195.44,ENPH,1.1827,7.8541,207.63,37227,2,2.31
131.73,130.59,130.19,JPM,1.1569,2.6821,130.55,82256,0,-0.31
99.46,97.0,93.64,AMD,1.4062,-0.909,95.93,455986,1,-2.15
159.4,157.32,156.54,AAPL,0.8214,1.1944,159.28,876159,5,2.07
115.15,113.11,113.11,EA,0.7754,1.2509,114.94,20727,0,-8.33
127.15,126.9,125.66,IBM,0.5415,0.5002,126.57,51325,0,5.69
