percentchange,symbol,open,high,low,price,relvolume,watchers,hourchange,sentiment
-0.93,NOC,450.22,452.4,445.53,445.795,0.3875,8008,2,-27.27
0.6355,MSFT,273.4,281.04,272.63,275.52,0.7478,442073,5,3.01
3.0612,NVDA,264.25,275.89,262.37,270.01,1.2932,419748,15,2.51
-1.2113,ENPH,209.65,211.22,204.61,205.115,0.6022,37243,2,-0.12
0.2375,META,202.5,207.37,201.84,202.6401,0.6461,511866,9,2.95
-1.6348,TSLA,199.3,200.66,193.82,194.35,0.6681,889091,6,-0.23
0.0063,AAPL,159.3,162.14,159.02,159.29,0.6815,876224,3,3.58
-1.555,JPM,130.56,130.655,128.3801,128.52,0.867,82272,3,1.25
-0.9876,IBM,127.0,127.215,125.225,125.32,0.3827,51323,-1,13.04
-1.0266,EA,114.29,115.1,113.55,113.76,0.6067,20724,-2,25.0
-0.0429,GOOGL,104.27,106.59,103.67,104.875,0.8365,159658,4,-4.34
-0.5467,AMZN,100.45,102.1,99.35,100.06,0.5873,586914,8,0.91
3.3253,AMD,95.65,101.7,95.645,99.12,1.5026,456033,13,-1.83
-1.4099,SONY,88.91,89.0699,87.8087,88.11,0.7278,2081,0,0.0
-0.1476,INTC,28.48,29.12,28.31,28.418,0.5173,130860,1,-2.07
9.8361,CVNA,10.15,10.25,8.46,8.71,1.6576,23487,7,9.5
2.4237,SOFI,5.79,6.03,5.66,5.705,1.3135,91649,3,2.97
2.0431,AMC,4.73,4.73,4.47,4.5001,0.7283,411920,-3,4.45
