symbol,high,low,relvolume,open,percentchange,price,watchers,hourchange,sentiment
NOC,452.4,445.11,0.448,450.22,-0.7211,446.735,8008,0,-27.27
MSFT,281.04,272.63,0.8333,273.4,0.7013,275.7,442095,22,2.44
NVDA,275.89,262.37,1.4256,264.25,3.1642,270.28,419766,18,2.32
ENPH,211.22,204.61,0.6839,209.65,-0.8766,205.81,37243,0,-0.05
META,207.37,201.84,0.7302,202.5,0.5095,203.19,511868,2,2.94
TSLA,200.66,193.635,0.7397,199.3,-1.6753,194.27,889104,13,-0.29
AAPL,162.14,159.02,0.7755,159.3,0.2888,159.74,876231,7,2.85
JPM,130.655,128.25,0.9979,130.56,-1.6699,128.37,82271,-1,0.74
IBM,127.215,125.2,0.4461,127.0,-0.9876,125.32,51323,0,8.33
EA,115.1,113.55,0.6724,114.29,-0.8178,114.0,20724,0,25.0
GOOGL,106.59,103.67,0.9238,104.27,0.1239,105.05,159661,3,-5.2
AMZN,102.1,99.35,0.6584,100.45,-0.2684,100.34,586914,0,0.51
AMD,101.7,95.645,1.6637,95.65,3.8049,99.58,456040,7,-2.18
SONY,89.0699,87.8087,0.8095,88.91,-1.3651,88.15,2081,0,0.0
INTC,29.12,28.31,0.5935,28.48,0.4041,28.575,130861,1,-2.98
CVNA,10.25,8.46,1.7212,10.15,8.7011,8.62,23490,3,9.07
SOFI,6.03,5.635,1.4579,5.79,1.4363,5.65,91658,9,2.19
AMC,4.73,4.45,0.7816,4.73,1.0204,4.455,411916,-4,4.3
