price,percentchange,relvolume,open,symbol,high,low,watchers,hourchange,sentiment
87.47,-2.126,0.9838,88.91,SONY,89.0699,87.445,2081,0,0.0
202.25,-2.5911,0.8075,209.65,ENPH,211.22,202.0,37243,0,-0.05
272.34,-0.526,0.9473,273.4,MSFT,281.04,272.32,442095,22,2.44
191.17,-3.2443,0.7976,199.3,TSLA,200.66,191.13,889104,13,-0.29
124.04,-1.9989,0.5477,127.0,IBM,127.215,124.04,51323,0,8.33
264.845,1.0897,1.5517,264.25,NVDA,275.89,262.37,419766,18,2.32
199.76,-1.1872,0.8014,202.5,META,207.37,199.76,511868,2,2.94
443.845,-1.3634,0.5627,450.22,NOC,452.4,443.085,8008,0,-27.27
158.0,-0.8036,0.893,159.3,AAPL,162.14,157.89,876231,7,2.85
4.325,-1.9274,0.8468,4.73,AMC,4.73,4.31,411916,-4,4.3
113.15,-1.5573,0.8082,114.29,EA,115.1,113.14,20724,0,25.0
127.12,-2.6273,1.1652,130.56,JPM,130.655,127.0843,82271,-1,0.74
5.555,-0.2693,1.6018,5.79,SOFI,6.03,5.54,91658,9,2.19
28.11,-1.2298,0.735,28.48,INTC,29.12,28.1,130861,1,-2.98
103.36,-1.4868,1.0266,104.27,GOOGL,106.59,103.34,159661,3,-5.2
98.685,-1.9133,0.7426,100.45,AMZN,102.1,98.67,586914,0,0.51
97.615,1.7565,1.7963,95.65,AMD,101.7,95.645,456040,7,-2.18
8.43,6.3052,1.7855,10.15,CVNA,10.25,8.4,23490,3,9.07
