relvolume,symbol,low,percentchange,open,price,high,watchers,hourchange,sentiment
0.735,INTC,28.1,-1.2298,28.48,28.11,29.12,130858,-3,-4.99
1.0266,GOOGL,103.34,-1.4868,104.27,103.36,106.59,159661,0,-5.13
0.7426,AMZN,98.67,-1.9133,100.45,98.685,102.1,586921,7,-0.5
1.7963,AMD,95.645,1.7565,95.65,97.615,101.7,456049,9,-2.41
1.7855,CVNA,8.4,6.3052,10.15,8.43,10.25,23434,-56,8.83
0.9838,SONY,87.445,-2.126,88.91,87.47,89.0699,2080,-1,0.0
0.8075,ENPH,202.0,-2.5911,209.65,202.25,211.22,37244,1,-0.18
0.9473,MSFT,272.32,-0.526,273.4,272.34,281.04,442092,-3,1.94
0.7976,TSLA,191.13,-3.2443,199.3,191.17,200.66,889103,-1,-0.55
0.5477,IBM,124.04,-1.9989,127.0,124.04,127.215,51324,1,16.67
1.5517,NVDA,262.37,1.0897,264.25,264.845,275.89,419778,12,0.84
0.8014,META,199.76,-1.1872,202.5,199.76,207.37,511872,4,2.65
0.5627,NOC,443.085,-1.3634,450.22,443.845,452.4,8008,0,-18.94
0.8468,AMC,4.31,-1.9274,4.73,4.325,4.73,411912,-4,4.07
0.893,AAPL,157.89,-0.8036,159.3,158.0,162.14,876235,4,1.72
0.8082,EA,113.14,-1.5573,114.29,113.15,115.1,20724,0,25.0
1.1652,JPM,127.0843,-2.6273,130.56,127.12,130.655,82275,4,0.56
1.6018,SOFI,5.54,-0.2693,5.79,5.555,6.03,91660,2,2.96
