high,low,open,symbol,relvolume,percentchange,price,watchers,hourchange,sentiment
106.59,103.33,104.27,GOOGL,1.0266,-1.4773,103.37,159661,0,-5.13
102.1,98.61,100.45,AMZN,0.7426,-1.8984,98.7,586921,7,-0.5
101.7,95.645,95.65,AMD,1.7963,1.72,97.58,456049,9,-2.41
10.25,8.4,10.15,CVNA,1.7855,6.3052,8.43,23434,-56,8.83
89.0699,87.43,88.91,SONY,0.9838,-2.1596,87.44,2080,-1,0.0
211.22,202.0,209.65,ENPH,0.8075,-2.6393,202.15,37244,1,-0.18
200.66,190.95,199.3,TSLA,0.7976,-3.2544,191.15,889103,-1,-0.55
281.04,272.22,273.4,MSFT,0.9473,-0.5442,272.29,442092,-3,1.94
127.215,124.01,127.0,IBM,0.5477,-1.991,124.05,51324,1,16.67
207.37,199.67,202.5,META,0.8014,-1.1624,199.81,511872,4,2.65
275.89,262.37,264.25,NVDA,1.5517,1.0268,264.68,419778,12,0.84
452.4,443.085,450.22,NOC,0.5627,-1.4178,443.6,8008,0,-18.94
4.75,4.31,4.73,AMC,0.8468,-1.5873,4.34,411912,-4,4.07
162.14,157.81,159.3,AAPL,0.893,-0.9103,157.83,876235,4,1.72
115.1,113.14,114.29,EA,0.8082,-1.5486,113.16,20724,0,25.0
130.655,127.08,130.56,JPM,1.1652,-2.5814,127.18,82275,4,0.56
6.03,5.54,5.79,SOFI,1.6018,-0.1795,5.56,91660,2,2.96
29.12,28.1,28.48,INTC,0.735,-1.1595,28.13,130858,-3,-4.99
