price,open,symbol,relvolume,low,percentchange,high,watchers,hourchange,sentiment
113.16,114.29,EA,0.8082,113.14,-1.5486,115.1,20724,0,25.0
5.56,5.79,SOFI,1.6018,5.54,-0.1795,6.03,91661,1,2.39
28.13,28.48,INTC,0.735,28.1,-1.1595,29.12,130857,-1,-8.44
97.58,95.65,AMD,1.7963,95.645,1.72,101.7,456057,8,-3.85
103.37,104.27,GOOGL,1.0266,103.33,-1.4773,106.59,159666,5,-6.06
98.7,100.45,AMZN,0.7426,98.61,-1.8984,102.1,586932,11,-1.58
8.43,10.15,CVNA,1.7855,8.4,6.3052,10.25,23434,0,8.79
87.44,88.91,SONY,0.9838,87.43,-2.1596,89.0699,2080,0,0.0
202.15,209.65,ENPH,0.8075,202.0,-2.6393,211.22,37246,2,-0.17
199.81,202.5,META,0.8014,199.67,-1.1624,207.37,511876,4,2.28
191.15,199.3,TSLA,0.7976,190.95,-3.2544,200.66,889119,16,-1.56
443.6,450.22,NOC,0.5627,443.085,-1.4178,452.4,8008,0,-18.18
264.68,264.25,NVDA,1.5517,262.37,1.0268,275.89,419791,13,0.84
4.34,4.73,AMC,0.8468,4.31,-1.5873,4.75,411913,1,4.0
272.29,273.4,MSFT,0.9473,272.22,-0.5442,281.04,442098,6,1.1
124.05,127.0,IBM,0.5477,124.01,-1.991,127.215,51324,0,16.67
127.18,130.56,JPM,1.1652,127.08,-2.5814,130.655,82275,0,0.18
157.83,159.3,AAPL,0.893,157.81,-0.9103,162.14,876238,3,0.47
