high,symbol,price,low,open,relvolume,percentchange,watchers,hourchange,sentiment
115.1,EA,113.16,113.14,114.29,0.8082,-1.5486,20724,0,15.0
6.03,SOFI,5.56,5.54,5.79,1.6018,-0.1795,91662,1,2.39
29.12,INTC,28.13,28.1,28.48,0.735,-1.1595,130857,0,-7.78
101.7,AMD,97.58,95.645,95.65,1.7963,1.72,456065,8,-4.41
106.59,GOOGL,103.37,103.33,104.27,1.0266,-1.4773,159669,3,-6.15
102.1,AMZN,98.7,98.61,100.45,0.7426,-1.8984,586932,0,-2.0
10.25,CVNA,8.43,8.4,10.15,1.7855,6.3052,23438,4,9.06
89.0699,SONY,87.44,87.43,88.91,0.9838,-2.1596,2080,0,0.0
207.37,META,199.81,199.67,202.5,0.8014,-1.1624,511882,6,2.18
211.22,ENPH,202.15,202.0,209.65,0.8075,-2.6393,37247,1,-0.02
275.89,NVDA,264.68,262.37,264.25,1.5517,1.0268,419808,17,0.09
452.4,NOC,443.6,443.085,450.22,0.5627,-1.4178,8008,0,-18.18
200.66,TSLA,191.15,190.95,199.3,0.7976,-3.2544,889125,6,-1.82
127.215,IBM,124.05,124.01,127.0,0.5477,-1.991,51325,1,16.67
281.04,MSFT,272.29,272.22,273.4,0.9473,-0.5442,442099,1,1.06
4.75,AMC,4.34,4.31,4.73,0.8468,-1.5873,411911,-2,3.56
130.655,JPM,127.18,127.08,130.56,1.1652,-2.5814,82278,3,0.77
162.14,AAPL,157.83,157.81,159.3,0.893,-0.9103,876239,1,-0.2
