price,percentchange,high,symbol,low,open,relvolume,watchers,hourchange,sentiment
116.04,2.5451,116.6,EA,113.665,113.79,0.8094,20718,-2,10.0
277.66,1.9722,281.05,MSFT,275.2,277.94,0.9851,442175,4,-2.81
100.28,2.767,102.43,AMD,98.675,100.05,1.3328,456158,5,-3.56
5.78,3.9568,5.88,SOFI,5.57,5.65,0.908,91693,4,0.85
123.37,-0.5482,124.93,IBM,122.6,123.81,0.7541,51330,1,-12.48
271.91,2.7316,274.99,NVDA,266.9018,271.155,1.0834,420058,6,-1.46
126.84,-0.2673,129.53,JPM,126.02,127.9,1.1679,82306,-4,-1.24
204.66,1.2417,214.85,ENPH,201.875,207.2,0.7403,37262,0,1.03
158.93,0.697,161.55,AAPL,157.68,158.83,0.8239,876310,1,-3.25
8.35,-0.949,9.47,CVNA,7.87,8.63,0.672,23438,-2,0.07
204.28,2.2371,207.88,META,202.155,202.84,0.7536,511942,2,-3.15
98.71,0.0101,101.06,AMZN,97.62,100.43,0.7327,587011,0,-3.43
444.44,0.1894,446.06,NOC,440.81,444.01,0.8075,8010,0,0.0
88.27,0.9492,89.415,SONY,87.702,88.32,1.1967,2080,0,0.0
105.6,2.1573,106.3,GOOGL,104.46,105.06,0.901,159705,5,-6.07
192.22,0.5598,199.31,TSLA,188.65,195.26,0.7694,889229,8,-3.98
29.03,3.1994,29.16,INTC,28.22,28.38,0.8506,130859,-3,-10.24
4.47,2.9954,4.68,AMC,4.34,4.44,0.5333,411932,5,-0.29
