high,percentchange,price,symbol,relvolume,open,low,watchers,hourchange,sentiment
455.26,2.3693,454.97,NOC,0.5704,445.08,443.105,8014,3,-5.0
279.77,0.4538,278.92,MSFT,0.5797,277.24,275.3,442236,2,-3.24
271.67,-2.1533,266.055,NVDA,0.6931,270.31,263.55,420185,7,-2.07
207.574,0.6475,205.6027,META,0.6604,205.18,203.55,512054,8,-2.41
203.55,-4.8813,194.67,ENPH,0.717,202.35,192.46,37272,0,3.35
192.36,-1.0041,190.29,TSLA,0.5243,191.65,187.15,889276,3,-2.78
159.935,0.5915,159.87,AAPL,0.5551,158.86,157.85,876374,2,-3.33
125.68,-1.3955,125.07,JPM,1.168,125.63,123.1163,82362,3,-0.98
124.95,1.2402,124.9,IBM,0.4294,123.36,122.89,51326,0,-0.54
119.18,2.3957,118.82,EA,0.6108,118.08,117.61,20719,0,16.67
105.36,-0.535,105.035,GOOGL,0.4908,104.99,103.84,159715,2,-5.41
98.14,-0.618,98.1,AMZN,0.5705,98.065,96.4,587038,2,-2.14
99.52,-2.5628,97.71,AMD,0.8379,99.18,96.74,456186,-4,-3.44
88.3,-0.7817,87.58,SONY,1.0592,88.3,86.96,2082,1,0.0
29.81,0.6717,29.225,INTC,0.823,29.04,28.93,130870,0,-3.55
8.47,-1.6168,8.215,CVNA,0.2209,8.18,7.95,23423,-1,-1.62
5.83,-0.3426,5.7602,SOFI,0.3575,5.675,5.645,91704,-1,-0.22
4.54,0.4474,4.49,AMC,0.2127,4.4,4.38,411928,4,-0.36
