low,relvolume,percentchange,high,open,price,symbol,watchers,hourchange,sentiment
4.38,0.283,-0.1119,4.54,4.4,4.465,AMC,411924,0,-0.03
5.645,0.4643,-0.6055,5.83,5.675,5.745,SOFI,91705,0,-0.16
28.93,1.0801,1.2332,29.81,29.04,29.388,INTC,130871,2,-1.12
96.4,0.6949,-0.5977,98.295,98.065,98.12,AMZN,587041,1,-1.17
203.55,0.7884,0.8714,207.574,205.18,206.06,META,512045,-15,0.97
103.84,0.6651,-0.1705,105.45,104.99,105.42,GOOGL,159717,2,-3.93
123.1163,1.496,-1.5453,125.68,125.63,124.88,JPM,82363,0,-0.56
187.15,0.6231,-1.0301,192.36,191.65,190.24,TSLA,889278,1,-1.41
86.96,1.3895,-0.861,88.3,88.3,87.51,SONY,2082,0,0.0
443.105,0.7919,2.4143,456.2,445.08,455.17,NOC,8013,0,-6.06
263.55,0.8619,-1.4475,271.67,270.31,267.974,NVDA,420189,4,-1.04
275.3,0.7429,1.03,280.59,277.24,280.52,MSFT,442243,5,-0.91
157.85,0.6983,0.8557,160.29,158.86,160.29,AAPL,876387,6,-2.25
96.74,1.0179,-2.2637,99.52,99.18,98.01,AMD,456183,-5,-3.28
7.95,0.2716,-1.5569,8.47,8.18,8.22,CVNA,23423,0,-0.9
192.46,0.8771,-4.1825,203.55,202.35,196.1,ENPH,37277,3,4.76
122.89,0.6283,1.5887,125.4,123.36,125.33,IBM,51325,0,-2.69
117.61,0.8715,2.6112,119.205,118.08,119.07,EA,20720,1,7.14
