low,price,percentchange,open,relvolume,symbol,high,watchers,hourchange,sentiment
4.38,4.47,0.0,4.4,0.283,AMC,4.54,411919,-5,-0.07
5.645,5.74,-0.692,5.675,0.4643,SOFI,5.83,91704,-1,-0.59
28.93,29.36,1.1368,29.04,1.0801,INTC,29.81,130868,-3,0.39
96.4,98.13,-0.5876,98.065,0.6949,AMZN,98.295,587042,1,-1.1
203.55,206.01,0.8469,205.18,0.7884,META,207.574,512046,1,2.85
123.1163,124.91,-1.5216,125.63,1.496,JPM,125.68,82368,5,0.58
103.84,105.44,-0.1515,104.99,0.6651,GOOGL,105.49,159716,-1,-3.03
187.15,190.41,-0.9416,191.65,0.6231,TSLA,192.36,889279,1,-1.27
86.96,87.53,-0.8383,88.3,1.3895,SONY,88.3,2082,0,0.0
443.105,455.25,2.4323,445.08,0.7919,NOC,456.2,8013,0,-10.23
263.55,267.79,-1.5152,270.31,0.8619,NVDA,271.67,420196,7,-1.2
275.3,280.57,1.048,277.24,0.7429,MSFT,280.63,442245,2,0.18
157.85,160.25,0.8306,158.86,0.6983,AAPL,160.34,876391,4,-1.54
192.46,195.99,-4.2363,202.35,0.8771,ENPH,203.55,37275,-2,4.44
7.95,8.19,-1.9162,8.18,0.2716,CVNA,8.47,23419,-4,-0.9
96.74,97.95,-2.3235,99.18,1.0179,AMD,99.52,456182,-1,-3.01
122.88,125.29,1.5563,123.36,0.6283,IBM,125.4,51325,0,-3.23
117.61,119.03,2.5767,118.08,0.8715,EA,119.205,20720,0,7.14
