percentchange,high,open,symbol,low,price,relvolume,watchers,hourchange,sentiment
-0.692,5.83,5.675,SOFI,5.645,5.74,0.4643,91704,-1,-0.59
1.1368,29.81,29.04,INTC,28.93,29.36,1.0801,130868,-3,0.39
-0.5876,98.295,98.065,AMZN,96.4,98.13,0.6949,587042,1,-1.1
0.8469,207.574,205.18,META,203.55,206.01,0.7884,512046,1,2.85
-0.1515,105.49,104.99,GOOGL,103.84,105.44,0.6651,159716,-1,-3.03
-1.5216,125.68,125.63,JPM,123.1163,124.91,1.496,82368,5,0.58
-0.9416,192.36,191.65,TSLA,187.15,190.41,0.6231,889279,1,-1.27
-0.8383,88.3,88.3,SONY,86.96,87.53,1.3895,2082,0,0.0
2.4323,456.2,445.08,NOC,443.105,455.25,0.7919,8013,0,-10.23
-1.5152,271.67,270.31,NVDA,263.55,267.79,0.8619,420196,7,-1.2
1.048,280.63,277.24,MSFT,275.3,280.57,0.7429,442245,2,0.18
0.8306,160.34,158.86,AAPL,157.85,160.25,0.6983,876391,4,-1.54
-4.2363,203.55,202.35,ENPH,192.46,195.99,0.8771,37275,-2,4.44
-2.3235,99.52,99.18,AMD,96.74,97.95,1.0179,456182,-1,-3.01
1.5563,125.4,123.36,IBM,122.88,125.29,0.6283,51325,0,-3.23
-1.9162,8.47,8.18,CVNA,7.95,8.19,0.2716,23419,-4,-0.9
2.5767,119.205,118.08,EA,117.61,119.03,0.8715,20720,0,7.14
0.0,4.54,4.4,AMC,4.38,4.47,0.283,411919,-5,-0.07
