symbol,relvolume,open,percentchange,price,high,low,watchers,hourchange,sentiment
META,0.7884,205.18,0.8469,206.01,207.574,203.55,512047,1,3.06
INTC,1.0801,29.04,1.1368,29.36,29.81,28.93,130869,1,-1.05
AMZN,0.6949,98.065,-0.5876,98.13,98.295,96.4,587044,2,-1.46
GOOGL,0.6651,104.99,-0.1515,105.44,105.49,103.84,159719,3,-3.55
JPM,1.496,125.63,-1.5216,124.91,125.68,123.1163,82371,3,-0.03
TSLA,0.6231,191.65,-0.9416,190.41,192.36,187.15,889279,0,-1.21
SONY,1.3895,88.3,-0.8383,87.53,88.3,86.96,2082,0,0.0
NVDA,0.8619,270.31,-1.5152,267.79,271.67,263.55,420192,-4,-1.2
MSFT,0.7429,277.24,1.048,280.57,280.63,275.3,442247,2,0.18
NOC,0.7919,445.08,2.4323,455.25,456.2,443.105,8013,0,-10.23
AAPL,0.6983,158.86,0.8306,160.25,160.34,157.85,876396,5,-1.32
ENPH,0.8771,202.35,-4.2363,195.99,203.55,192.46,37276,1,4.84
CVNA,0.2716,8.18,-1.9162,8.19,8.47,7.95,23420,1,-0.69
AMD,1.0179,99.18,-2.3235,97.95,99.52,96.74,456182,0,-2.72
IBM,0.6283,123.36,1.5563,125.29,125.4,122.88,51327,2,-2.69
EA,0.8715,118.08,2.5767,119.03,119.205,117.61,20720,0,0.0
AMC,0.283,4.4,0.0,4.47,4.54,4.38,411926,7,-0.09
SOFI,0.4643,5.675,-0.692,5.74,5.83,5.645,91704,0,-0.16
