percentchange,relvolume,low,open,symbol,price,high,watchers,hourchange,sentiment
0.8469,0.7884,203.55,205.18,META,206.01,207.574,512047,1,3.06
1.1368,1.0801,28.93,29.04,INTC,29.36,29.81,130869,1,-1.05
-0.5876,0.6949,96.4,98.065,AMZN,98.13,98.295,587044,2,-1.46
-0.1515,0.6651,103.84,104.99,GOOGL,105.44,105.49,159719,3,-3.55
-0.9416,0.6231,187.15,191.65,TSLA,190.41,192.36,889279,0,-1.21
-1.5216,1.496,123.11,125.63,JPM,124.91,125.68,82371,3,-0.03
-0.8383,1.3895,86.96,88.3,SONY,87.53,88.3,2082,0,0.0
1.048,0.7429,275.3,277.24,MSFT,280.57,280.63,442247,2,0.18
-1.5152,0.8619,263.55,270.31,NVDA,267.79,271.67,420192,-4,-1.2
0.8306,0.6983,157.85,158.86,AAPL,160.25,160.34,876396,5,-1.32
2.4323,0.7919,443.105,445.08,NOC,455.25,456.2,8013,0,-10.23
-4.2363,0.8771,192.46,202.35,ENPH,195.99,203.55,37276,1,4.84
-2.3235,1.0179,96.74,99.18,AMD,97.95,99.52,456182,0,-2.72
-1.9162,0.2716,7.95,8.18,CVNA,8.19,8.47,23420,1,-0.69
1.5563,0.6283,122.88,123.36,IBM,125.29,125.4,51327,2,-2.69
2.5767,0.8715,117.61,118.08,EA,119.03,119.205,20720,0,0.0
0.0,0.283,4.38,4.4,AMC,4.47,4.54,411926,7,-0.09
-0.692,0.4643,5.645,5.675,SOFI,5.74,5.83,91704,0,-0.16
