percentchange,symbol,high,open,relvolume,price,low,watchers,hourchange,sentiment
0.8469,META,207.574,205.18,0.7884,206.01,203.55,512047,1,3.06
1.1368,INTC,29.81,29.04,1.0801,29.36,28.93,130869,1,-1.05
-0.5876,AMZN,98.295,98.065,0.6949,98.13,96.4,587044,2,-1.46
-0.1515,GOOGL,105.49,104.99,0.6651,105.44,103.84,159719,3,-3.55
-0.9416,TSLA,192.36,191.65,0.6231,190.41,187.15,889279,0,-1.21
-1.5216,JPM,125.68,125.63,1.496,124.91,123.11,82371,3,-0.03
-1.5152,NVDA,271.67,270.31,0.8619,267.79,263.55,420192,-4,-1.2
-0.8383,SONY,88.3,88.3,1.3895,87.53,86.96,2082,0,0.0
1.048,MSFT,280.63,277.24,0.7429,280.57,275.3,442247,2,0.18
-4.2363,ENPH,203.55,202.35,0.8771,195.99,192.46,37276,1,4.84
0.8306,AAPL,160.34,158.86,0.6983,160.25,157.85,876396,5,-1.32
2.4323,NOC,456.2,445.08,0.7919,455.25,443.105,8013,0,-10.23
-1.9162,CVNA,8.47,8.18,0.2716,8.19,7.95,23420,1,-0.69
-2.3235,AMD,99.52,99.18,1.0179,97.95,96.74,456182,0,-2.72
1.5563,IBM,125.4,123.36,0.6283,125.29,122.88,51327,2,-2.69
2.5767,EA,119.205,118.08,0.8715,119.03,117.61,20720,0,0.0
0.0,AMC,4.54,4.4,0.283,4.47,4.38,411926,7,-0.09
-0.692,SOFI,5.83,5.675,0.4643,5.74,5.645,91704,0,-0.16
