percentchange,relvolume,high,symbol,open,low,price,watchers,hourchange,sentiment
2.5767,0.8715,119.205,EA,118.08,117.61,119.03,20720,0,0.0
0.0,0.283,4.54,AMC,4.4,4.38,4.47,411928,2,0.06
-0.692,0.4643,5.83,SOFI,5.675,5.645,5.74,91704,0,-0.3
1.1368,1.0801,29.81,INTC,29.04,28.93,29.36,130869,0,-2.08
0.8469,0.7884,207.574,META,205.18,203.55,206.01,512048,1,3.14
-0.5876,0.6949,98.295,AMZN,98.065,96.4,98.13,587048,4,-1.3
-0.1515,0.6651,105.49,GOOGL,104.99,103.84,105.44,159720,1,-3.23
-0.9416,0.6231,192.36,TSLA,191.65,187.15,190.41,889274,-5,-1.16
-1.5216,1.496,125.68,JPM,125.63,123.11,124.91,82371,0,0.57
-1.5152,0.8619,271.67,NVDA,270.31,263.55,267.79,420196,4,-1.07
-0.8383,1.3895,88.3,SONY,88.3,86.96,87.53,2082,0,0.0
1.048,0.7429,280.63,MSFT,277.24,275.3,280.57,442252,5,0.18
-4.2363,0.8771,203.55,ENPH,202.35,192.46,195.99,37275,-1,4.14
2.4323,0.7919,456.2,NOC,445.08,443.105,455.25,8012,-1,-10.23
0.8306,0.6983,160.34,AAPL,158.86,157.85,160.25,876400,4,-1.14
-1.9162,0.2716,8.47,CVNA,8.18,7.95,8.19,23417,-3,-0.7
-2.3235,1.0179,99.52,AMD,99.18,96.74,97.95,456181,-1,-2.55
1.5563,0.6283,125.4,IBM,123.36,122.88,125.29,51327,0,-2.69
