symbol,relvolume,high,percentchange,price,open,low,watchers,hourchange,sentiment
AMZN,0.6949,98.295,-0.5876,98.13,98.065,96.4,587048,4,-1.3
GOOGL,0.6651,105.49,-0.1515,105.44,104.99,103.84,159720,1,-3.23
TSLA,0.6231,192.36,-0.9416,190.41,191.65,187.15,889274,-5,-1.16
JPM,1.496,125.68,-1.5216,124.91,125.63,123.11,82371,0,0.57
NVDA,0.8619,271.67,-1.5152,267.79,270.31,263.55,420196,4,-1.07
SONY,1.3895,88.3,-0.8383,87.53,88.3,86.96,2082,0,0.0
ENPH,0.8771,203.55,-4.2363,195.99,202.35,192.46,37275,-1,4.14
MSFT,0.7429,280.63,1.048,280.57,277.24,275.3,442252,5,0.18
NOC,0.7919,456.2,2.4323,455.25,445.08,443.105,8012,-1,-10.23
AAPL,0.6983,160.34,0.8306,160.25,158.86,157.85,876400,4,-1.14
CVNA,0.2716,8.47,-1.9162,8.19,8.18,7.95,23417,-3,-0.7
AMD,1.0179,99.52,-2.3235,97.95,99.18,96.74,456181,-1,-2.55
IBM,0.6283,125.4,1.5563,125.29,123.36,122.88,51327,0,-2.69
EA,0.8715,119.205,2.5767,119.03,118.08,117.61,20720,0,0.0
AMC,0.283,4.54,0.0,4.47,4.4,4.38,411928,2,0.06
SOFI,0.4643,5.83,-0.692,5.74,5.675,5.645,91704,0,-0.3
INTC,1.0801,29.81,1.1368,29.36,29.04,28.93,130869,0,-2.08
META,0.7884,207.574,0.8469,206.01,205.18,203.55,512048,1,3.14
