open,low,relvolume,percentchange,price,high,symbol,watchers,hourchange,sentiment
270.31,263.55,0.8619,-1.5152,267.79,271.67,NVDA,420202,6,-1.07
8.18,7.95,0.2716,-1.9162,8.19,8.47,CVNA,23417,0,-0.49
99.18,96.74,1.0179,-2.3235,97.95,99.52,AMD,456184,3,-2.45
123.36,122.88,0.6283,1.5563,125.29,125.4,IBM,51327,0,-2.11
158.86,157.85,0.6983,0.8306,160.25,160.34,AAPL,876403,3,-1.12
277.24,275.3,0.7429,1.048,280.57,280.63,MSFT,442258,6,0.18
445.08,443.105,0.7919,2.4323,455.25,456.2,NOC,8012,0,-10.23
118.08,117.61,0.8715,2.5767,119.03,119.205,EA,20720,0,0.0
5.675,5.645,0.4643,-0.692,5.74,5.83,SOFI,91707,3,-0.31
4.4,4.38,0.283,0.0,4.47,4.54,AMC,411928,0,0.06
29.04,28.93,1.0801,1.1368,29.36,29.81,INTC,130867,-2,-2.08
98.065,96.4,0.6949,-0.5876,98.13,98.295,AMZN,587053,5,-1.0
205.18,203.55,0.7884,0.8469,206.01,207.574,META,512051,3,2.95
191.65,187.15,0.6231,-0.9416,190.41,192.36,TSLA,889285,11,-1.16
104.99,103.84,0.6651,-0.1515,105.44,105.49,GOOGL,159720,0,-3.52
88.3,86.96,1.3895,-0.8383,87.53,88.3,SONY,2082,0,0.0
202.35,192.46,0.8771,-4.2363,195.99,203.55,ENPH,37275,0,4.49
125.63,123.11,1.496,-1.5216,124.91,125.68,JPM,82371,0,0.29
