open,low,percentchange,high,symbol,price,relvolume,watchers,hourchange,sentiment
270.31,263.55,-1.5152,271.67,NVDA,267.79,0.8619,420203,3,-1.13
8.18,7.95,-1.9162,8.47,CVNA,8.19,0.2716,23415,-2,-0.45
99.18,96.74,-2.3235,99.52,AMD,97.95,1.0179,456186,2,-2.47
123.36,122.88,1.5563,125.4,IBM,125.29,0.6283,51329,0,-2.11
158.86,157.85,0.8306,160.34,AAPL,160.25,0.6983,876399,2,-1.16
277.24,275.3,1.048,280.63,MSFT,280.57,0.7429,442262,4,0.64
445.08,443.105,2.4323,456.2,NOC,455.25,0.7919,8012,0,-10.23
118.08,117.61,2.5767,119.205,EA,119.03,0.8715,20721,1,0.0
5.675,5.645,-0.692,5.83,SOFI,5.74,0.4643,91710,2,-0.35
4.4,4.38,0.0,4.54,AMC,4.47,0.283,411928,1,0.31
29.04,28.93,1.1368,29.81,INTC,29.36,1.0801,130869,0,-2.05
98.065,96.4,-0.5876,98.295,AMZN,98.13,0.6949,587054,1,-0.83
205.18,203.55,0.8469,207.574,META,206.01,0.7884,512052,1,2.76
191.65,187.15,-0.9416,192.36,TSLA,190.41,0.6231,889291,4,-1.08
104.99,103.84,-0.1515,105.49,GOOGL,105.44,0.6651,159720,0,-3.23
88.3,86.96,-0.8383,88.3,SONY,87.53,1.3895,2082,0,0.0
202.35,192.46,-4.2363,203.55,ENPH,195.99,0.8771,37276,0,4.82
125.63,123.11,-1.5216,125.68,JPM,124.91,1.496,82377,1,0.12
