symbol,high,low,relvolume,price,open,percentchange,watchers,hourchange,sentiment
NOC,459.96,455.23,0.3242,458.88,459.09,0.7974,8013,0,2.78
MSFT,281.4589,275.52,0.6159,276.91,280.5,-1.3045,442425,0,0.4
NVDA,269.94,263.6501,0.6379,265.0573,268.37,-1.0205,420365,0,-0.86
META,205.86,201.37,0.4496,203.0186,204.81,-1.4521,512179,-3,-0.27
ENPH,200.21,191.61,0.5389,196.6,199.36,0.3112,37293,0,0.25
TSLA,197.39,189.94,0.6193,192.77,194.415,1.2394,889469,1,-0.5
AAPL,160.77,157.87,0.5464,158.61,159.94,-1.0234,876589,4,-0.17
IBM,130.255,126.47,0.8768,129.85,126.47,3.6396,51336,1,2.93
JPM,129.38,126.29,1.1036,129.1,126.79,3.3544,82430,1,-3.69
EA,119.4,118.14,0.4642,118.99,118.9,-0.0336,20717,-1,0.0
GOOGL,104.76,101.9273,0.5889,102.835,104.615,-2.4706,159787,3,-0.63
AMZN,99.335,97.08,0.5429,98.275,99.07,0.1478,587195,2,-1.0
AMD,98.93,95.425,0.8291,96.855,98.02,-1.1179,456272,1,-1.67
SONY,87.38,86.33,0.9102,86.675,87.12,-0.9768,2080,-1,0.0
INTC,29.73,29.08,0.5365,29.295,29.37,-0.2214,130885,-3,0.25
CVNA,8.3686,7.57,0.2366,7.745,8.35,-5.4335,23419,-3,-0.54
SOFI,5.88,5.73,0.5183,5.815,5.82,1.3066,91735,0,0.01
AMC,4.55,4.3,0.4814,4.54,4.51,1.566,411966,-2,-0.26
