percentchange,low,relvolume,high,open,symbol,price,watchers,hourchange,sentiment
0.7084,455.23,0.3434,459.96,459.09,NOC,458.475,8013,0,2.78
-1.2688,275.52,0.6341,281.4589,280.5,MSFT,277.01,442425,0,0.4
-1.0381,263.6501,0.6505,269.94,268.37,NVDA,265.01,420365,0,-0.86
-1.4465,201.37,0.459,205.86,204.81,META,203.03,512179,-3,-0.27
0.2704,191.61,0.5567,200.21,199.36,ENPH,196.52,37293,0,0.25
1.1528,189.94,0.6311,197.39,194.415,TSLA,192.605,889469,1,-0.5
-1.039,157.87,0.5597,160.77,159.94,AAPL,158.585,876589,4,-0.17
3.6276,126.47,0.9251,130.255,126.47,IBM,129.835,51336,1,2.93
3.1383,126.29,1.1403,129.38,126.79,JPM,128.83,82430,1,-3.69
-0.084,118.14,0.5042,119.4,118.9,EA,118.93,20717,-1,0.0
-2.6034,101.9273,0.6039,104.76,104.615,GOOGL,102.695,159787,3,-0.63
0.163,97.08,0.5532,99.335,99.07,AMZN,98.29,587195,2,-1.0
-1.2455,95.425,0.8524,98.93,98.02,AMD,96.73,456272,1,-1.67
-1.0111,86.33,0.9572,87.38,87.12,SONY,86.645,2080,-1,0.0
-0.1703,29.08,0.556,29.73,29.37,INTC,29.31,130885,-3,0.25
-6.4713,7.57,0.2425,8.3686,8.35,CVNA,7.66,23419,-3,-0.54
1.1324,5.73,0.5435,5.88,5.82,SOFI,5.805,91735,0,0.01
1.3423,4.3,0.5056,4.55,4.51,AMC,4.53,411966,-2,-0.26
