relvolume,price,percentchange,symbol,low,open,high,watchers,hourchange,sentiment
0.5969,195.83,-0.0816,ENPH,191.61,199.36,200.21,37292,-1,0.25
0.6504,191.81,0.7353,TSLA,189.94,194.415,197.39,889474,5,-0.67
0.6373,118.64,-0.3276,EA,118.14,118.9,119.4,20717,0,-5.45
0.6543,102.46,-2.8263,GOOGL,101.9273,104.615,104.76,159787,0,-0.63
0.6526,29.18,-0.6131,INTC,29.08,29.37,29.73,130887,2,1.05
0.6791,265.31,-0.9261,NVDA,263.6501,268.37,269.94,420362,-3,-0.78
0.6882,276.38,-1.4934,MSFT,275.52,280.5,281.4589,442425,0,0.39
0.5937,5.76,0.3484,SOFI,5.73,5.82,5.88,91735,0,0.16
1.0705,129.31,3.2086,IBM,126.47,126.47,130.255,51336,0,3.72
0.8904,96.61,-1.368,AMD,95.425,98.02,98.93,456276,4,-2.21
0.4942,202.84,-1.5388,META,201.37,204.81,205.86,512179,0,-0.25
1.0594,86.64,-1.0168,SONY,86.33,87.12,87.41,2080,0,0.0
0.5885,98.04,-0.0917,AMZN,97.08,99.07,99.335,587197,2,-0.53
1.2406,128.49,2.8661,JPM,126.29,126.79,129.38,82432,2,-2.07
0.5515,4.55,1.7897,AMC,4.3,4.51,4.58,411963,-3,-0.26
0.3979,458.25,0.659,NOC,455.18,459.09,459.8,8013,0,0.0
0.2612,7.62,-6.9597,CVNA,7.57,8.35,8.445,23419,0,-0.54
0.6029,158.28,-1.2293,AAPL,157.87,159.94,160.77,876584,-5,-0.33
