price,symbol,open,low,relvolume,high,percentchange,watchers,hourchange,sentiment
29.18,INTC,29.37,29.08,0.6526,29.73,-0.6131,130887,2,1.05
265.31,NVDA,268.37,263.6501,0.6791,269.94,-0.9261,420362,-3,-0.78
276.38,MSFT,280.5,275.52,0.6882,281.4589,-1.4934,442425,0,0.39
5.76,SOFI,5.82,5.73,0.5937,5.88,0.3484,91735,0,0.16
129.31,IBM,126.47,126.47,1.0705,130.255,3.2086,51336,0,3.72
96.61,AMD,98.02,95.425,0.8904,98.93,-1.368,456276,4,-2.21
86.64,SONY,87.12,86.33,1.0594,87.41,-1.0168,2080,0,0.0
202.84,META,204.81,201.37,0.4942,205.86,-1.5388,512179,0,-0.25
98.04,AMZN,99.07,97.08,0.5885,99.335,-0.0917,587197,2,-0.53
128.49,JPM,126.79,126.29,1.2406,129.38,2.8661,82432,2,-2.07
7.62,CVNA,8.35,7.57,0.2612,8.445,-6.9597,23419,0,-0.54
458.25,NOC,459.09,455.18,0.3979,459.8,0.659,8013,0,0.0
158.28,AAPL,159.94,157.87,0.6029,160.77,-1.2293,876584,-5,-0.33
4.55,AMC,4.51,4.3,0.5515,4.58,1.7897,411963,-3,-0.26
195.83,ENPH,199.36,191.61,0.5969,200.21,-0.0816,37292,-1,0.25
191.81,TSLA,194.415,189.94,0.6504,197.39,0.7353,889474,5,-0.67
118.64,EA,118.9,118.14,0.6373,119.4,-0.3276,20717,0,-5.45
102.46,GOOGL,104.615,101.9273,0.6543,104.76,-2.8263,159787,0,-0.63
