price,open,percentchange,high,symbol,relvolume,low,watchers,hourchange,sentiment
276.38,280.5,-1.4934,281.4589,MSFT,0.6882,275.52,442439,5,-0.23
265.31,268.37,-0.9261,269.94,NVDA,0.6791,263.6501,420367,-2,-0.95
5.76,5.82,0.3484,5.88,SOFI,0.5937,5.73,91737,1,0.35
96.61,98.02,-1.368,98.93,AMD,0.8904,95.425,456283,6,-2.21
129.31,126.47,3.2086,130.255,IBM,1.0705,126.47,51335,1,4.09
86.64,87.12,-1.0168,87.38,SONY,1.0594,86.33,2080,0,0.0
202.84,204.81,-1.5388,205.86,META,0.4942,201.37,512185,5,-0.79
128.49,126.79,2.8661,129.38,JPM,1.2406,126.29,82438,2,-1.68
98.04,99.07,-0.0917,99.335,AMZN,0.5885,97.08,587199,5,-0.49
7.62,8.35,-6.9597,8.445,CVNA,0.2612,7.57,23411,-4,-0.74
4.55,4.51,1.7897,4.58,AMC,0.5515,4.3,411959,-2,-0.46
458.25,459.09,0.659,459.96,NOC,0.3979,455.23,8013,0,0.0
158.28,159.94,-1.2293,160.77,AAPL,0.6029,157.87,876594,5,-0.48
195.83,199.36,-0.0816,200.21,ENPH,0.5969,191.61,37292,1,-0.21
191.81,194.415,0.7353,197.39,TSLA,0.6504,189.94,889478,7,-0.73
118.64,118.9,-0.3276,119.4,EA,0.6373,118.14,20715,0,-5.45
102.46,104.615,-2.8263,104.76,GOOGL,0.6543,101.9273,159780,-2,-0.67
29.18,29.37,-0.6131,29.73,INTC,0.6526,29.08,130884,-1,1.14
