percentchange,open,relvolume,price,low,symbol,high,watchers,hourchange,sentiment
-0.9261,268.37,0.6791,265.31,263.6501,NVDA,269.94,420367,-2,-0.95
-1.4934,280.5,0.6882,276.38,275.52,MSFT,281.4589,442439,5,-0.23
0.3484,5.82,0.5937,5.76,5.73,SOFI,5.88,91737,1,0.35
3.2086,126.47,1.0705,129.31,126.47,IBM,130.255,51335,1,4.09
-1.368,98.02,0.8904,96.61,95.425,AMD,98.93,456283,6,-2.21
-1.0168,87.12,1.0594,86.64,86.33,SONY,87.38,2080,0,0.0
2.8661,126.79,1.2406,128.49,126.29,JPM,129.38,82438,2,-1.68
-1.5388,204.81,0.4942,202.84,201.37,META,205.86,512185,5,-0.79
-0.0917,99.07,0.5885,98.04,97.08,AMZN,99.335,587199,5,-0.49
0.659,459.09,0.3979,458.25,455.23,NOC,459.96,8013,0,0.0
-6.9597,8.35,0.2612,7.62,7.57,CVNA,8.445,23411,-4,-0.74
-1.2293,159.94,0.6029,158.28,157.87,AAPL,160.77,876594,5,-0.48
1.7897,4.51,0.5515,4.55,4.3,AMC,4.58,411959,-2,-0.46
-0.0816,199.36,0.5969,195.83,191.61,ENPH,200.21,37292,1,-0.21
0.7353,194.415,0.6504,191.81,189.94,TSLA,197.39,889478,7,-0.73
-0.3276,118.9,0.6373,118.64,118.14,EA,119.4,20715,0,-5.45
-2.8263,104.615,0.6543,102.46,101.9273,GOOGL,104.76,159780,-2,-0.67
-0.6131,29.37,0.6526,29.18,29.08,INTC,29.73,130884,-1,1.14
